timestamp,avg,qty
1574973300,26,2
1574973600,76,1
1574974200,26,2
1574975400,24,3
1574976900,22,5
1574977200,19,3
1574977500,22,5
1574978100,19,3
1574979000,18,1
1574979600,19,3
1574979900,18,1
1574980200,20,1
1574985300,16,1
1574985600,20,1
1574986200,16,2
1575003600,20,1
1575007200,25,1
1575010800,20,2
1575012000,16,1
1575014100,25,1
1575018000,26,1
1575019800,25,2
1575030600,21,2
1575036000,26,1
1575039600,24,1
1575056700,23,2
1575060600,25,1
1575064200,21,2
1575071700,23,2
1575072300,22,3
1575073200,23,2
1575073500,24,1
1575086700,26,1
1575092100,16,2
1575095700,17,1
1575106500,76,1
1575118500,25,1
1575118800,76,2
1575119100,25,1
1575122400,76,1
1575128400,24,100
1575132300,21,1
1575136800,19,1
1575144600,25,2
1575149700,21,3
1575153300,22,1
1575153600,21,3
1575153900,22,1
1575165900,23,2
1575166200,22,3
1575166500,24,1
1575166800,23,2
1575167100,24,1
1575167400,23,2
1575167700,24,1
1575170100,20,1
1575171900,22,3
1575173700,24,2
1575175500,20,2
1575192300,19,1
1575195300,22,2
1575199500,21,3
1575199800,20,2
1575201300,76,1
1575203700,11,54
1575206100,12,55
1575206400,11,54
1575206700,12,55
1575207000,76,2
1575207300,12,55
1575207600,76,2
1575216900,20,1
1575218700,21,2
1575219300,20,1
1575219600,21,2
1575220500,22,2
1575223200,23,2
1575223800,22,3
1575224100,23,2
1575230700,20,1
1575237300,76,1
1575238800,66,5
1575239100,76,2
1575239400,66,5
1575240600,64,4
1575242100,60,3
1575242700,22,1
1575249000,23,1
1575250200,49,2
1575252900,76,1
1575255600,23,1
1575257400,21,2
1575259200,19,1
1575266400,22,1
1575287700,24,1
1575298800,76,1
1575299700,50,2
1575303300,20,1
1575304500,22,2
1575304800,20,1
1575305100,22,2
1575305400,20,1
1575305700,22,2
1575306600,24,1
1575309600,23,1
1575315000,24,1
1575317100,22,3
1575319200,20,3
1575319500,21,3
1575320100,20,3
1575320400,38,3
1575320700,20,3
1575321000,48,2
1575321300,38,3
1575321600,48,2
1575321900,38,3
1575322200,48,2
1575322800,76,3
1575329400,23,1
1575329700,76,1
1575330000,23,1
1575338700,76,2
1575344100,23,1
1575347700,22,1
1575353100,76,1
1575377700,22,1
1575382800,20,1
1575388200,48,2
1575399000,76,2
1575404700,48,2
1575406500,76,1
1575406800,48,2
1575407100,76,1
1575407700,48,2
1575410400,21,1
1575424800,48,2
1575435900,20,2
1575436800,22,1
1575437400,20,2
1575439200,18,1
1575444600,25,1
1575452100,76,1
1575479700,31,4
1575480300,46,2
1575480900,31,4
1575481500,28,5
1575481800,17,4
1575482400,28,5
1575482700,17,4
1575485400,46,2
1575490800,76,1
1575493200,56,2
1575493500,76,1
1575493800,56,2
1575495000,36,1
1575496200,76,1
1575496800,56,2
1575497400,76,1
1575561600,20,1
1575561900,48,2
1575562200,20,1
1575567300,76,1
1575571800,48,2
1575572700,57,3
1575573000,48,2
1575573300,57,3
1575574200,48,2
1575576000,76,1
1575576300,24,1
1575576600,76,1
1575576900,24,1
1575589500,76,2
1575605700,22,1
1575628500,76,1
1575636300,21,1
1575640500,23,1
1575651900,76,1
1575661800,55,1
1575666900,24,1
1575685800,23,3
1575691200,21,1
1575694800,24,1
1575698400,22,2
1575700200,20,1
1575709800,19,1
1575724500,24,1
1575750000,400,2
1575753300,1000,1
1575770100,500,1
1575777000,1000,1
1575801300,998,1
1575822000,76,1
1575863700,50,2
1575865800,41,3
1575867600,40,3
1575869700,22,1
1575879600,76,1
1575935400,25,1
1575937500,20,2
1575939000,46,2
1575939300,20,2
1575939600,46,2
1575940800,38,3
1575941700,28,6
1575942000,38,3
1575942300,28,6
1575942900,19,6
1575945000,20,1
1575945300,19,3
1575945600,20,1
1575946500,22,1
1575957900,76,1
1575993000,26,1
1575995100,51,2
1575995400,26,1
1575995700,51,2
1575996300,76,2
1575996600,51,2
1575996900,76,2
1576011600,26,1
1576012500,42,3
1576013100,26,1
1576013400,42,3
1576015200,50,2
1576015500,42,3
1576015800,50,2
1576016700,76,1
1576020000,51,2
1576020300,59,3
1576020600,51,2
1576023300,26,1
1576023900,76,1
1576030500,23,1
1576030800,58,3
1576031100,23,1
1576031700,58,3
1576033500,76,2
1576037100,19,1
1576042500,20,1
1576046100,76,1
1576069200,26,1
1576075500,36,5
1576077300,76,1
1576077900,36,5
1576078200,76,1
1576079100,23,1
1576086900,76,1
1576090500,50,1
1576090800,76,1
1576091100,50,1
1576100100,76,2
1576117200,20,2
1576120800,22,1
1576122900,42,2
1576126500,26,1
1576130100,25,2
1576137300,26,1
1576149900,20,2
1576155000,14,21
1576158600,22,2
1576159200,14,23
1576159500,22,2
1576159800,70,1
1576178700,47,2
1576180200,25,2
1576183500,26,1
1576183800,25,2
1576184100,26,1
1576184700,48,2
1576185900,70,1
1576186200,48,2
1576186800,70,1
1576187100,72,102
1576187400,70,1
1576187700,72,102
1576193700,23,1
1576197900,49,2
1576198500,23,1
1576198800,76,1
1576199100,49,2
1576199400,76,1
1576262100,35,25
1576262400,76,1
1576262700,35,25
1576264500,33,26
1576265700,32,5
1576272000,61,3
1576272600,54,2
1576273500,76,1
1576277100,32,3
1576280400,76,1
1576280700,32,3
1576281000,76,2
1576291200,70,125
1576320000,76,1
1576351500,25,1
1576359000,70,1
1576364400,69,2
1576373700,70,1
1576384200,74,3
1576386000,76,2
1576430100,43,32
1576431900,41,32
1576433700,40,50
1576437300,50,2
1576453800,10,49
1576455600,11,51
1576457400,50,2
1576466700,24,1
1576468500,50,2
1576470300,76,1
1576554000,25,1
1576555800,37,2
1576557300,50,3
1576557900,63,2
1576558500,50,3
1576558800,63,2
1576559400,76,1
1576568700,29,1
1576592100,76,1
1576596000,100,2
1576608000,76,3
1576608300,100,1
1576608600,76,3
1576610400,65,2
1576614900,100,1
1576621800,26,1
1576624800,25,2
1576633800,29,1
1576660500,100,1
1576707600,30,1
1576713600,100,1
1576818300,29,1
1576847700,100,1
1576871400,99,3
1576873200,98,2
1576882200,1000,1
1576951500,900,2
1576964400,466,2
1576979100,500,1
1576984500,266,2
1576988100,500,1
1576993500,900,1
1577002800,121,8
1577006700,850,2
1577008500,800,1
1577010000,63,1
1577015700,800,2
1577028600,34,1
1577033700,139,1
1577037900,900,1
1577045100,3000,2
1577050200,400,1
1577066700,300,1
1577072100,249,1
1577079600,191,1
1577088900,170,2
1577089500,191,1
1577089800,170,2
1577092200,150,1
1577106300,34,1
1577107500,92,2
1577107800,34,1
1577108100,111,3
1577108400,92,2
1577108700,111,3
1577110200,150,2
1577126400,191,1
1577141700,36,84
1577142000,191,1
1577142600,36,84
1577142900,34,88
1577148600,150,1
1577151000,145,2
1577151300,150,1
1577151600,145,2
1577152800,140,1
1577179200,87,2
1577181600,105,3
1577181900,87,2
1577182200,105,3
1577183700,140,1
1577187000,191,2
1577188800,139,3
1577189100,191,2
1577189400,139,3
1577190900,36,1
1577191500,35,2
1577192400,36,1
1577192700,35,2
1577202300,130,1
1577229600,140,1
1577246100,139,2
1577260500,35,1
1577282400,34,1
1577286300,36,1
1577288100,66,2
1577289900,97,1
1577297100,66,2
1577298900,36,1
1577302500,97,2
1577311500,34,1
1577315400,35,4
1577318700,45,127
1577320800,46,126
1577322600,69,3
1577324400,53,4
1577326200,37,2
1577331600,83,4
1577346300,99,1
1577371800,36,1
1577380800,99,1
1577398800,36,3
1577402700,35,1
1577411700,99,2
1577413500,82,3
1577415600,43,2
1577417400,37,1
1577419200,99,2
1577455200,35,1
1577460600,56,1
1577463000,99,1
1577537700,32,1
1577543400,99,1
1577545500,68,2
1577548200,52,4
1577548800,57,3
1577550000,67,2
1577550300,36,1
1577552100,37,1
1577552700,68,2
1577553300,37,1
1577553600,68,2
1577555700,99,1
1577556000,68,2
1577556300,99,1
1577566800,68,2
1577567100,99,2
1577567400,68,2
1577568600,38,1
1577569200,68,2
1577571000,99,1
1577577600,76,3
1577579700,64,2
1577580000,76,3
1577580300,30,1
1577580600,64,2
1577581200,30,1
1577587200,99,1
1577640000,31,1
1577643600,99,2
1577644200,31,1
1577644500,99,2
1577659800,50,1
1577661600,82,3
1577671200,99,1
1577680800,68,2
1577681700,99,1
1577682000,37,102
1577685900,78,3
1577687700,99,1
1577706000,85,2
1577712900,37,1
1577730000,35,2
1577734500,36,2
1577737200,37,4
1577740800,28,1
1577742300,33,3
1577743800,36,122
1577747400,30,1
1577747700,36,121
1577748000,30,1
1577751600,36,1
1577757000,37,1
1577758500,36,1
1577765400,25,2
1577765700,36,2
1577766000,25,2
1577766300,15,1
1577768100,30,1
1577772600,35,1
1577787900,20,1
1577790000,27,2
1577791800,34,1
1577799000,37,2
1577801100,36,3
1577802900,35,1
1577811900,37,1
1577824800,31,2
1577828400,37,1
1577843100,36,2
1577848500,37,2
1577884800,32,1
1577888100,34,2
1577889900,37,1
1577895600,30,1
1577908200,35,2
1577910000,31,3
1577911800,33,4
1577915700,29,2
1577917500,26,2
1577921100,37,3
1577926500,32,1
1577928300,34,2
1577930100,36,1
1577932200,37,1
1577937600,36,1
1577939400,35,3
1577946900,33,2
1577954400,36,1
1577963700,37,2
1577969400,38,1
1577995200,40,2
1578006600,39,5
1578008100,36,2
1578012000,35,1
1578013800,95,2
1578015600,155,2
1578017400,152,2
1578019500,150,1
1578028200,155,1
1578040500,36,1
1578042600,95,2
1578043800,155,1
1578044100,95,2
1578044700,155,1
1578059400,95,2
1578060900,35,1
1578077400,27,3
1578084600,29,3
1578086700,33,2
1578087900,34,1
1578091800,16,5
1578099300,20,3
1578102000,30,1
1578102300,20,3
1578102600,30,1
1578114000,32,1
1578115200,33,2
1578118200,35,1
1578119700,32,1
1578134100,16,2
1578134400,17,1
1578134700,16,2
1578137100,15,3
1578141600,35,1
1578145500,16,1
1578146700,29,3
1578149100,36,2
1578149400,29,3
1578149700,36,2
1578150000,29,3
1578150600,36,2
1578150900,34,1
1578154500,36,2
1578156300,29,3
1578157800,24,2
1578158100,29,3
1578158400,24,2
1578159300,28,4
1578159900,32,4
1578168600,33,1
1578174000,34,1
1578176400,35,2
1578177900,31,2
1578180000,27,1
1578186900,86,1
1578188700,61,2
1578189000,86,1
1578189300,61,2
1578191100,118,2
1578192600,200,1
1578199800,1000,1
1578205800,29,1
1578225900,34,1
1578236400,2000,1
1578238800,1017,2
1578240000,35,3
1578240300,690,3
1578240900,35,3
1578246600,3498,1
1578250200,3300,1
1578250500,3498,1
1578250800,3300,1
1578252000,2650,2
1578252600,3300,1
1578252900,2650,2
1578254100,2000,1
1578254400,2650,2
1578254700,2000,1
1578259200,30,1
1578262800,35,1
1578264900,36,203
1578265200,35,1
1578265500,36,203
1578268500,31,3
1578269100,36,204
1578269400,27,2
1578269700,31,3
1578270000,27,2
1578270300,29,3
1578271200,30,5
1578272700,31,6
1578273900,33,5
1578276900,34,1
1578277200,33,2
1578277500,34,1
1578278400,27,1
1578279900,33,77
1578282900,35,2
1578283200,33,78
1578283800,35,2
1578284700,25,1
1578291300,35,1
1578295800,34,37
1578296700,35,36
1578297000,25,3
1578297300,34,37
1578297600,25,3
1578298800,27,4
1578299100,25,3
1578299700,28,3
1578301500,34,1
1578309000,1115,1
1578313200,1100,1
1578316200,567,2
1578316500,1100,1
1578317100,35,1
1578317400,567,2
1578317700,35,1
1578326700,78,1
1578337500,69,5
1578337800,78,4
1578338400,46,3
1578338700,69,5
1578339000,46,3
1578339300,39,5
1578339900,25,5
1578340200,39,5
1578341100,17,4
1578342900,13,3
1578344700,28,3
1578348300,100000,1
1578354900,23,1
1578358500,12511,2
1578360300,11675,3
1578362100,5013,2
1578363900,30,2
1578369600,34,1
1578373200,33,1
1578375000,34,2
1578376800,35,1
1578378600,200,1
1578380400,117,2
1578382200,32,2
1578384000,30,1
1578394800,32,1
1578402300,35,1
1578404100,23,5
1578405900,20,4
1578409500,25,1
1578416700,28,2
1578423900,32,1
1578429600,31,2
1578431700,30,1
1578435000,34,1
1578436800,30,3
1578438900,29,3
1578440400,9,1659
1578444300,20,2
1578444900,10,1
1578445500,20,2
1578448200,24,2
1578448500,22,4
1578448800,24,2
1578449100,22,4
1578449400,24,2
1578455400,29,1
1578468300,12,1
1578471900,28,1
1578481200,34,1
1578486600,24,1
1578488700,25,2
1578489300,24,1
1578489600,25,2
1578490500,26,3
1578507000,25,4
1578516300,26,1
1578518400,23,2
1578518700,26,1
1578519000,23,2
1578520800,20,1
1578526800,26,2
