timestamp,avg,qty
1574973300,356,189
1574973600,358,139
1574974200,356,189
1574974800,355,64
1574975400,353,65
1574979000,352,135
1574984400,342,9
1574987100,253,76
1574987700,304,2
1574988000,252,75
1574991000,236,26
1574991600,264,11
1574991900,236,26
1574992800,260,35
1574996400,345,209
1575012000,362,110
1575018000,353,5
1575019800,354,2
1575023400,353,9
1575027300,362,18
1575038100,353,57
1575042000,353,37
1575042600,353,37
1575042900,353,37
1575043800,360,9
1575044100,358,11
1575044400,360,9
1575045000,358,11
1575045300,362,4
1575045600,360,9
1575045900,362,4
1575047700,360,2
1575049200,356,5
1575051000,351,8
1575051900,351,9
1575052800,351,8
1575053100,353,7
1575053400,351,8
1575053700,353,7
1575054000,351,8
1575054600,353,7
1575055200,333,5
1575058500,336,11
1575060600,327,10
1575062100,324,9
1575062400,340,22
1575064500,344,26
1575067800,351,7
1575070500,363,29
1575070800,363,29
1575071400,363,29
1575105900,354,79
1575108600,362,4
1575109800,369,9
1575112500,365,3
1575114300,353,2
1575114600,353,1
1575114900,353,2
1575115800,361,2
1575116100,353,2
1575116400,361,2
1575121200,369,118
1575122100,370,16
1575122400,368,125
1575122700,369,118
1575123000,368,126
1575125100,365,11
1575125700,364,9
1575126900,365,3
1575127200,362,4
1575127800,365,3
1575128400,365,3
1575129600,365,3
1575141300,342,6
1575143100,344,7
1575143400,344,7
1575143700,344,7
1575146100,353,5
1575146400,353,5
1575146700,354,3
1575147300,353,5
1575147900,355,2
1575149700,250,2
1575150000,355,2
1575150300,250,2
1575150600,241,3
1575150900,250,2
1575151200,241,3
1575151800,299,36
1575153900,277,68
1575154200,279,64
1575155100,277,68
1575156900,281,17
1575160800,230,282
1575161400,230,282
1575161700,230,282
1575162000,230,282
1575165000,257,2
1575165600,257,2
1575165900,302,5
1575166200,257,2
1575166500,281,6
1575168300,269,5
1575170100,338,1
1575171900,289,177
1575175200,291,181
1575183000,341,11
1575198000,339,10
1575204000,370,2
1575204300,370,13
1575208800,354,7
1575214500,353,1
1575216000,351,2
1575216600,351,2
1575216900,351,2
1575217200,351,2
1575217800,351,2
1575219900,341,41
1575220500,341,41
1575221400,344,136
1575222300,344,134
1575222900,344,136
1575223200,343,137
1575223800,344,134
1575224100,343,137
1575224400,342,136
1575224700,343,137
1575225000,342,136
1575225900,345,73
1575228900,361,261
1575229200,360,265
1575229800,361,261
1575230100,348,411
1575230700,352,433
1575232200,344,292
1575232800,345,298
1575233400,364,95
1575237300,297,9
1575238800,336,9
1575239100,314,14
1575239400,336,9
1575239700,336,9
1575240300,336,9
1575240600,316,20
1575242100,315,17
1575242700,300,13
1575243600,300,13
1575243900,300,13
1575244200,300,13
1575246300,337,5
1575246600,279,15
1575246900,337,5
1575247200,279,15
1575247500,337,5
1575247800,279,15
1575248100,256,16
1575250200,239,13
1575252000,347,3
1575262800,382,6
1575292500,391,11
1575294600,408,18
1575294900,386,18
1575295500,430,20
1575295800,408,18
1575296100,430,20
1575296400,456,16
1575297000,430,20
1575297300,456,16
1575297600,505,12
1575298800,413,36
1575307800,349,17
1575312300,333,34
1575312600,324,15
1575314100,341,29
1575315000,342,28
1575315300,341,29
1575315600,342,28
1575319200,316,3
1575321000,220,5
1575321300,234,6
1575321600,220,5
1575321900,234,6
1575322200,220,5
1575324600,285,18
1575324900,277,16
1575325500,285,18
1575327900,344,11
1575328200,306,82
1575328500,344,11
1575329100,306,82
1575329400,303,135
1575329700,306,82
1575330000,303,135
1575331200,302,132
1575331800,352,3
1575332100,302,132
1575332400,352,3
1575333300,225,4
1575336900,275,2
1575340500,335,10
1575346200,369,175
1575347700,369,304
1575350100,368,130
1575350700,368,217
1575351000,368,130
1575351600,339,15
1575353100,344,15
1575354600,344,15
1575354900,352,1
1575366000,340,3
1575372000,353,5
1575377100,340,1
1575379200,337,4
1575381000,346,8
1575382800,292,140
1575383100,297,56
1575384000,292,140
1575384600,312,208
1575386400,351,99
1575388200,304,4
1575391800,353,7
1575397500,354,16
1575406200,353,9
1575411900,358,8
1575414000,368,11
1575419400,354,28
1575420900,356,119
1575422700,356,123
1575426600,359,4
1575428700,347,8
1575430800,368,2421
1575431100,368,2421
1575431700,368,2419
1575433500,368,2424
1575435900,350,9
1575439200,343,5
1575444600,371,2
1575468300,358,4
1575470400,361,3
1575473700,355,9
1575474000,357,7
1575474300,355,9
1575474600,355,9
1575474900,355,9
1575475500,355,8
1575475800,355,9
1575476100,355,8
1575477600,354,6
1575477900,355,10
1575478500,354,6
1575478800,355,10
1575481800,352,11
1575483300,352,10
1575485400,347,4
1575485700,348,12
1575486300,347,4
1575488100,371,1
1575488400,355,2
1575488700,371,1
1575490800,359,1
1575492000,359,1
1575496200,357,1
1575502200,354,1
1575507000,340,8
1575507600,355,132
1575508200,355,133
1575508800,355,132
1575509100,356,127
1575513600,341,9
1575514800,326,18
1575515100,341,11
1575515400,325,17
1575516900,316,11
1575517800,306,8
1575518100,316,11
1575518400,306,8
1575521100,356,8
1575522000,356,8
1575522600,356,8
1575522900,356,8
1575523500,356,8
1575558600,325,2
1575561600,325,3
1575561900,309,1
1575562200,325,3
1575563400,317,10
1575564000,304,7
1575564300,314,14
1575564600,317,10
1575564900,314,14
1575571800,341,10
1575574200,355,134
1575578400,356,12
1575583200,340,25
1575585900,328,4
1575587100,327,4
1575596400,274,4
1575597000,280,3
1575598200,294,2
1575598800,337,14
1575600000,340,47
1575601500,341,49
1575602100,340,47
1575602400,349,59
1575607800,353,16
1575608100,369,14
1575608400,353,16
1575608700,369,14
1575609000,353,16
1575609300,319,8
1575609600,353,16
1575609900,319,8
1575610200,307,6
1575611100,307,6
1575611400,307,6
1575611700,307,6
1575612600,330,6
1575615600,340,41
1575619500,373,3
1575625200,374,6
1575630900,360,339
1575633900,373,2
1575634200,373,2
1575634500,373,2
1575642000,351,2
1575645000,343,9
1575645600,343,9
1575647400,372,2
1575648000,346,10
1575648300,372,2
1575648600,373,3
1575648900,372,2
1575649200,373,3
1575649500,373,3
1575649800,373,3
1575650100,362,9
1575650400,373,3
1575650700,362,9
1575651300,362,9
1575651600,362,9
1575651900,367,10
1575666000,376,219
1575666300,379,199
1575666900,373,184
1575667200,376,219
1575667500,373,184
1575671400,307,2
1575672300,307,1
1575672600,307,2
1575672900,307,1
1575674400,307,2
1575675900,307,1
1575676200,307,1
1575676500,307,1
1575680100,381,30
1575683700,355,3
1575687300,372,3
1575689100,375,3
1575692700,332,5
1575696300,463,4
