timestamp,avg,qty
1574973300,28,4
1574973600,3,2
1574974200,28,4
1574977200,29,6
1574977500,28,10
1574978100,29,6
1574982600,21,4
1574983500,13,2
1574985300,14,2
1574985600,13,2
1574986200,14,4
1574991000,31,1
1574994300,32,1
1575003600,33,2
1575005100,2,141
1575008700,35,4
1575010800,34,4
1575012000,32,2
1575014100,37,2
1575030600,34,4
1575033600,32,2
1575034200,34,4
1575036000,37,2
1575039600,39,1
1575045300,35,2
1575047700,48,3
1575049200,75,1
1575058500,45,8
1575060600,16,4
1575062100,18,3
1575062400,34,1
1575075300,10,1
1575077100,35,126
1575081000,17,3
1575084600,2,59
1575092100,25,2
1575095700,35,2
1575113700,25,2
1575114900,29,4
1575117300,31,5
1575118500,28,3
1575118800,31,5
1575119100,28,3
1575120900,27,2
1575122400,40,2
1575132000,75,1
1575132300,59,2
1575132900,75,1
1575133200,59,2
1575133800,51,4
1575135900,44,1
1575136200,51,4
1575136800,75,2
1575144600,22,4
1575147900,33,1
1575153300,55,2
1575153600,33,6
1575153900,55,2
1575165900,35,2
1575166200,55,2
1575166500,35,2
1575170100,1,2
1575175500,7,4
1575192300,35,2
1575195300,33,4
1575198000,32,7
1575200100,26,1
1575201300,75,2
1575201600,26,1
1575202200,75,2
1575216000,87,101
1575216900,85,103
1575217200,87,101
1575217800,85,103
1575219900,34,2
1575221400,87,2
1575230700,34,2
1575234000,60,4
1575234300,34,4
1575235200,60,4
1575235800,84,4
1575237300,59,6
1575237600,53,7
1575237900,59,6
1575238200,53,7
1575238500,59,6
1575238800,43,10
1575239100,53,7
1575239400,43,10
1575240600,51,8
1575242100,34,4
1575242700,27,2
1575249000,85,2
1575250200,76,6
1575252900,72,4
1575255600,29,2
1575266400,26,2
1575270300,2,2
1575272100,12,3
1575273600,18,2
1575274200,34,1
1575274500,18,2
1575274800,34,1
1575277500,26,1
1575281700,21,89
1575282000,26,1
1575282300,21,89
1575282600,39,125
1575287700,59,2
1575291900,32,1
1575299700,85,2
1575303300,34,2
1575309600,33,2
1575315000,30,2
1575317100,32,4
1575318300,31,6
1575319500,32,5
1575320100,31,6
1575320400,30,6
1575320700,31,6
1575321000,30,4
1575322800,29,7
1575325800,25,4
1575326100,29,5
1575326400,22,2
1575326700,25,4
1575327000,22,2
1575327300,25,4
1575327600,22,2
1575333300,14,2
1575340500,16,6
1575342600,17,4
1575343500,20,2
1575343800,17,4
1575344100,18,2
1575347700,34,1
1575353100,30,2
1575354900,25,3
1575357300,27,3
1575357900,15,1
1575358200,27,3
1575358800,54,4
1575360900,75,4
1575377100,34,1
1575399000,20,4
1575404700,10,4
1575410400,40,2
1575424800,75,2
1575435900,31,4
1575436800,29,2
1575437400,31,4
1575439200,34,2
1575444600,35,2
1575452100,32,2
1575455700,35,2
1575462900,27,1
1575467100,25,2
1575468300,28,3
1575468600,25,2
1575468900,28,3
1575470400,34,7
1575473700,33,6
1575474000,34,12
1575474300,33,6
1575477600,35,2
1575479700,25,6
1575480300,27,4
1575480900,25,6
1575481500,27,9
1575481800,25,7
1575482400,27,9
1575482700,25,7
1575483300,32,4
1575483900,31,3
1575484200,32,4
1575484800,31,3
