timestamp,avg,qty
1576450200,200,1
1576905900,384,1
1577960100,1,5
1578532500,449,2
1578782100,10,1
1578846000,371,4
1578851400,10,4
1578941700,724,149
1579481700,449,3
1579540200,518,1
1580269800,401,20
1580273400,518,2
1585180500,300,1
1587733800,391,1
1588016700,240,1
1588490100,359,9
1588524900,415,98
1590803700,307,487
1590807300,200,1
1591126800,343,4
1591128600,389,5
1591130400,573,1
1591147500,200,1
1591535400,339,5
1591539000,200,1
1591990500,253,2
1592006700,200,1
1592588700,316,13
1592590500,308,14
1592592300,200,1
1592594400,1000,2
1592617800,200,6
1593414300,350,1
1593432600,200,1
1595038200,999,30
1595284800,724,1
1595544000,200,3
1595898600,191,201
1596164700,100,1
1597247700,276,10
1597259100,100,2
1597344000,267,12
1597361400,100,1
1599560700,1,1
1600137600,348,2
1600603200,350,41
1601061000,385,1
1602017700,307,1
1605552600,312,30
1605567900,328,1
1605783900,334,20
1607229300,333,1
1609602900,264,4
1612745400,265,2
1612746600,293,4
1612749000,322,1
