timestamp,avg,qty
1574975400,403,4
1574978400,400,77
1575005100,412,2
1575010800,401,3995
1575045300,416,1
1575051000,415,5
1575056700,413,294
1575088500,432,20
1575099600,433,200
1575105300,400,2000
1575129900,417,70
1575133800,421,29
1575134400,546,1
1575140700,454,20
1575142500,434,320
1575144600,433,300
1575159300,400,1759
1575160800,408,3766
1575162900,414,2007
1575186600,405,2000
1575216900,420,1
1575220500,421,994
1575232200,399,2000
1575237300,400,16000
1575237600,399,18001
1575237900,400,16000
1575238200,399,18001
1575238500,400,16000
1575238800,399,20001
1575242100,400,2000
1575257400,451,34
1575270300,424,20
1575277200,420,3686
1575277500,416,4690
1575278400,420,3686
1575279000,412,6068
1575281100,400,2383
1575302100,421,7999
1575306600,430,1
1575313200,149,1407
1575318300,547,1
1575334800,405,499
1575358800,409,1708
1575360900,414,848
1575364200,400,100
1575393600,415,1111
1575404700,403,690
1575408000,444,2
1575411900,400,9475
1575415500,414,345
1575416100,415,344
1575416700,414,345
1575417300,415,344
1575417600,406,2962
1575419400,405,4000
1575430800,414,1640
1575448500,433,10
1575479700,414,553
1575483300,448,14553
1575483900,450,14000
1575484200,448,14553
1575484500,450,14000
1575488100,419,1264
1575495000,420,300
1575529200,415,2000
1575539400,420,2000
1575544800,419,8000
1575569100,420,1022
1575576000,416,215
1575642000,423,4
1575644100,419,9
1575644400,423,4
1575644700,419,9
1575645600,416,5
1575650100,423,1996
1575654600,425,1994
1575655800,420,3994
1575656100,425,1994
1575656400,420,3994
1575657600,416,2000
1575657900,420,3994
1575658200,416,2000
1575676800,405,5500
1575681900,416,30
1575683700,405,530
1575687300,415,20
1575691200,405,1093
1575709500,457,1
1575731100,416,2000
1575735000,421,12000
1575740400,415,1
1575755400,376,2000
1575786600,396,1
1575795900,418,2659
1575797700,412,4005
1575798000,408,8005
1575798300,412,4005
1575798600,408,8005
1575799200,412,4005
1575799500,401,7346
1575800100,402,6000
1575800400,401,7346
1575801300,396,2000
