timestamp,avg,qty
1574974800,243,26
1574975400,242,23
1574976900,241,19
1574977200,240,27
1574977500,241,19
1574978100,240,27
1574978400,242,61
1574980800,247,156
1574981100,242,61
1574981700,247,156
1574982600,250,246
1574983500,249,247
1574985300,235,66
1574985600,249,172
1574986200,235,67
1574987100,236,78
1574987700,235,67
1574988000,233,67
1574988300,236,78
1574988900,233,67
1574989500,243,48
1574990400,227,68
1574991000,220,49
1574991600,227,68
1574991900,220,49
1574992800,219,49
1574994300,245,128
1574996400,247,323
1574997900,248,289
1575001500,227,54
1575003600,199,232
1575005100,195,200
1575007200,250,50
1575010800,209,10
1575012000,208,18
1575014100,246,227
1575015900,247,219
1575018000,237,53
1575019800,241,77
1575021600,246,45
1575023700,244,22
1575025200,220,21
1575027300,218,21
1575029100,215,3
1575030600,219,7
1575039600,215,98
1575039900,214,74
1575040200,215,98
1575040500,214,74
1575040800,215,98
1575041100,214,74
1575041400,215,98
1575041700,214,74
1575042000,204,62
1575043500,226,150
1575045300,233,122
1575045600,226,144
1575045900,234,124
1575046500,233,122
1575046800,234,124
1575047700,248,1009
1575049200,247,1059
1575051000,218,64
1575052800,244,64
1575053100,250,54
1575053400,244,64
1575053700,250,54
1575054000,244,64
1575054600,250,54
1575055200,247,1051
1575058500,240,67
1575060600,233,37
1575062100,221,120
1575062400,218,120
1575064200,234,167
1575064500,250,87
1575065100,234,167
1575065400,250,87
1575065700,234,167
1575066000,249,230
1575068100,247,314
1575070500,246,377
1575070800,247,476
1575071400,246,377
1575071700,247,434
1575073500,245,173
1575075300,242,66
1575077100,249,159
1575079200,247,745
1575081000,246,689
1575082800,243,295
1575083700,247,68
1575084000,243,295
1575084600,247,79
1575086700,249,32
1575088500,250,29
1575092100,249,70
1575095700,250,445
1575097500,249,305
1575102900,250,111
1575105300,232,30
1575106500,223,20
1575106800,232,30
1575107400,223,20
1575110400,225,15
1575110700,223,3
1575111300,226,17
1575111600,225,15
1575112200,226,17
1575112500,233,33
1575112800,226,17
1575113100,233,33
1575113700,240,65
1575114300,243,53
1575114600,240,65
1575114900,243,51
1575115800,248,82
1575116100,243,51
1575116400,248,82
1575117300,231,72
1575118500,224,80
