timestamp,avg,qty
1574975400,9239,33
1574978400,9116,55
1574979000,9122,46
1574979600,9116,55
1574979900,9122,46
1574982900,9100,24
1574991000,9641,47
1574992800,9884,65
1574994300,10008,70
1575005100,10100,71
1575014100,9586,58
1575029100,9443,40
1575029700,9453,38
1575030000,9443,40
1575030300,9453,38
1575030600,9435,45
1575032700,9311,26
1575033600,9312,25
1575034200,9311,26
1575034500,9363,27
1575036000,9430,25
1575036300,9433,29
1575036600,9430,25
1575037200,9433,29
1575037500,9430,25
1575038100,9480,39
1575038400,9459,32
1575038700,9480,39
1575039600,9513,51
1575042000,9664,36
1575042600,9639,45
1575042900,9664,36
1575043500,9914,27
1575043800,10006,34
1575044100,9914,27
1575044400,10006,34
1575045000,9914,27
1575045300,10054,44
1575045600,10006,34
1575045900,10058,49
1575047700,10045,52
1575071700,9311,34
1575081600,9820,69
1575084600,9835,60
1575086700,9928,59
1575088500,10028,52
1575092100,10066,73
1575097500,9900,30
1575106500,9907,38
1575108600,9904,24
1575122400,9238,100
1575125700,9557,141
1575126300,9936,80
1575129600,9751,50
1575129900,9783,46
1575132000,9701,63
1575135000,10028,90
1575135300,9872,112
1575135600,10028,90
1575136800,10000,42
1575142500,9567,69
1575143100,9598,75
1575143400,9567,69
1575143700,9598,75
1575146100,9525,141
1575146400,9496,86
1575146700,9550,133
1575147300,9525,141
1575147900,9616,114
1575148800,9612,120
1575149100,9616,114
1575149400,9612,120
1575155700,9828,59
1575159300,9787,46
1575159600,9799,42
1575159900,9787,46
1575160800,9787,72
1575162900,9360,90
1575164700,9039,57
1575165000,9093,58
1575165600,9039,57
1575165900,9444,37
1575168300,9363,60
1575168600,9369,49
1575168900,9363,60
1575170100,9094,62
1575171900,9296,61
1575172800,9259,58
1575173100,9296,61
1575175500,9305,27
1575177300,9287,58
1575179400,9424,54
1575183000,9290,38
1575183300,9456,41
1575184500,9290,38
1575184800,9019,30
1575186600,9081,29
1575189000,9090,26
1575189600,9084,28
1575189900,9090,26
1575190200,9006,12
1575190500,9090,26
1575190800,9006,12
1575192300,9032,51
1575192900,9032,52
1575193500,9032,51
1575194100,9032,52
1575194700,9046,59
1575200100,9137,27
1575202800,9078,50
1575203700,9047,52
1575204000,9014,53
1575204300,9047,52
1575204900,9072,51
1575205200,9014,53
1575205800,9072,51
1575206100,9099,40
1575206400,9072,51
1575206700,9099,40
1575207000,9141,34
1575207300,9099,40
1575207600,9141,34
1575208800,9071,53
1575209100,9108,63
1575209400,9059,47
1575209700,9071,53
1575210000,9059,47
1575213300,9106,57
1575216000,9125,32
1575216600,9113,59
1575216900,9022,67
1575224400,9021,46
1575224700,9020,51
1575225000,9021,46
1575225900,9100,25
1575228000,9084,34
1575228300,9087,31
1575228600,9084,34
1575232200,9176,83
1575242700,9597,51
1575250200,9299,39
1575250500,9299,35
1575252000,9830,33
1575253800,9747,56
1575255600,9527,68
1575257400,9619,66
1575261000,9782,56
1575262800,9899,50
1575263100,9918,56
1575263400,9899,50
1575264000,9918,56
1575264300,9899,50
1575264600,10001,57
1575273600,10015,33
1575277200,10008,52
1575277500,9980,50
1575278400,10008,52
1575279000,9986,53
1575279300,9986,52
1575279900,9986,53
1575280500,9986,52
1575281100,9976,38
1575283800,10010,23
1575286200,10000,7
1575290700,9960,47
1575291900,9945,42
1575292500,9860,47
1575294600,9809,44
1575294900,9835,42
1575295500,9822,57
1575295800,9809,44
1575296100,9822,57
1575296400,9847,42
1575297000,9822,57
1575297300,9847,42
1575298800,9911,52
1575299700,9942,47
1575300300,9938,70
1575300900,9940,66
1575302100,9922,65
1575303300,9905,59
1575303900,9910,38
1575304200,9905,59
1575304500,9915,39
1575304800,9910,38
1575305100,9915,39
1575305400,9910,38
1575305700,9915,39
1575306300,9915,25
1575306600,9912,24
1575309900,9879,22
1575328200,9800,62
1575329400,9418,50
1575329700,9800,62
1575330000,9418,50
1575330300,9347,43
1575330900,9418,50
1575331200,9583,61
1575331800,9724,60
1575332100,9583,61
1575332400,9724,60
1575333300,10000,51
1575338700,10000,63
1575339600,10000,63
1575339900,10000,63
1575340200,10000,63
1575342600,9366,62
1575344400,9351,65
1575346200,9738,61
1575347700,9827,66
1575350100,9862,59
1575351600,9876,64
1575352200,9878,53
1575352800,9876,64
1575353100,9864,45
1575354600,9839,32
1575354900,9800,21
1575368100,9875,34
1575384600,9895,37
1575386400,9901,29
1575386700,9900,24
1575387600,9901,29
1575387900,9900,24
1575388200,9850,30
1575391800,9705,26
