timestamp,avg,qty
1575327900,350,648
1576197300,385,11
1576204800,320,5
1576205400,320,581
1576205700,320,5
1576206000,320,581
1576486500,394,24
1576796400,105,108
1576802100,371,5
1576802400,371,5
1576803000,371,5
1577389800,349,10
1577721600,396,40
1577830200,378,36
1577874300,302,1
1578083100,420,1
1578084600,420,1
1578610500,625,9
1579056300,399,1
1579058400,399,1
1579202100,476,732
1579389300,591,2
1579391100,591,2
1579435800,487,11
1579946100,442,12
1580095200,343,24
1580097000,343,23
1580372400,421,1
1580587200,435,36
1580709300,352,1
1580711100,352,1
1580834700,408,1
1581168000,404,12
1581389700,426,1
1581729600,427,1
1581985200,389,1
1582162500,449,1
1582287300,449,624
1582289100,449,624
1582446600,450,3869
1582758600,126,1
1583076300,455,444
1583521500,450,1
1583861700,405,1
1583867100,408,13
1583868900,408,13
1583890800,425,1
1583892900,425,1
1584002400,426,12
1585090800,436,12
1585599000,475,132
1585621200,485,7
1586068200,405,1
1586104500,406,2773
1586182800,405,266
1586206500,405,2
1586467500,374,217
1586469300,379,180
1586575500,462,4
1586642400,247,1031
1586856000,360,10
1587245700,445,341
1587263700,356,5500
1587354600,366,14
1587367500,366,1
1587387600,356,1501
1587579600,393,106
1587673200,412,2038
1587821400,405,1
1587837900,416,2150
1587912900,385,289
1587938400,379,492
1587943800,356,1
1588051200,383,12
1588587000,354,1
1588702500,395,181
1588747800,385,1
1589768700,149,71
1589832300,227,1
1590021000,360,96
1590022800,360,96
1590663000,380,1
1590664800,380,1
1590666600,386,540
1590668400,386,540
1590723000,335,9770
1591293000,355,1
1591296600,378,10
1591411200,337,278
1591413000,337,354
1591414800,337,76
1591544700,355,1
1592635800,352,12
1593237600,342,252
1593239400,342,252
1593284700,351,100
1593525600,312,4122
1593588600,306,22
1594488600,278,1
1595663400,310,63
1595811300,292,564
1596243000,268,9
1596396000,220,28
1596399600,175,1
1596441300,278,10
1596559800,211,1
1596561600,211,1
1596997200,292,4
1597001100,270,4256
1597151400,350,1
1597197300,235,36
1597344000,254,11
1597392300,271,1
1597619400,308,1
1597964700,273,12
1598034600,286,14
1598758200,274,1000
1598867400,185,1
1599268200,260,12
1599413100,275,13
1599425700,244,1
1599452700,99,13
1599933600,200,1
1600125000,205,20
1600635900,231,14
1601432400,292,1081
1601434200,292,5636
1601436300,292,4555
1601436900,292,5636
1601437200,292,4555
1601532900,289,10396
1602386100,17,1
1602942900,149,10
1602974400,220,100
1604495400,234,1
1604598600,237,1
1604630400,235,6101
1604705700,246,12008
1604790600,246,8304
1604824500,155,1
1604859900,225,1505
1605121800,191,1
1605133500,215,84
1605134100,191,10
1605134400,215,84
1605135000,219,74
1605531600,170,1
1605547500,170,1
1605789000,217,8
1608076500,204,1
1608918300,154,12
1609051500,148,1
1609058700,210,4022
1609165800,206,1001
1609501500,158,1
1609503300,158,2125
1609512300,210,2307
1609514100,158,1
1609682700,144,1
1609684500,144,1
1609847400,215,1
1609849200,215,1
1609851300,215,29
1609870500,221,108
1610810100,186,1
1610820600,187,92
1610822700,187,172
1610824800,187,74
1610825100,187,80
1610825700,187,41
1610826600,187,41
1610832600,208,117
1610920200,247,1
1612037700,173,1
1612043100,67,89
1612560900,200,1
1612694700,190,883
