timestamp,avg,qty
1574984400,8078,50
1574990400,8099,1
1574994300,8077,1
1574996400,8067,3
1574997900,8063,2
1575000000,8076,1
1575005100,8097,2
1575047700,8152,10000
1575052800,10708,1
1575086700,8170,1
1575102000,8090,1
1575122400,8150,1
1575143100,8096,1
1575147900,8149,1
1575160800,8130,1
1575162900,8116,3
1575164700,8110,2
1575175500,8128,1
1575201300,8100,1
1575232200,8080,1
1575235800,8088,1
1575240600,8099,1
1575248100,8090,4001
1575253800,8096,1
1575272100,8081,423
1575272700,8082,513
1575273000,8081,423
1575273300,8082,513
1575273600,8086,2010
1575275400,8087,1587
1575277200,8144,1
1575283800,8090,12
1575322800,8095,1
1575324600,8089,727
1575334800,8100,172
1575344100,8115,1
1575351600,8124,3400
1575353100,8130,4401
1575354900,8150,1001
1575372000,8101,2359
1575377100,8151,4770
1575399000,8170,1
1575402600,8165,1
1575406200,8124,1
1575408000,8101,145
1575433500,8177,1
1575455700,8189,1
1575465300,8152,1
1575467100,8175,2
1575469200,8198,1
1575469500,8175,2
1575469800,8198,1
1575479700,8302,103
1575480300,8286,102
1575480900,8302,103
1575483300,9990,1
1575499500,8800,2
1575509100,8557,1
1575520200,8269,1
1575522000,8302,2
1575522600,8269,1
1575522900,8302,2
1575523500,8336,1
1575526500,8332,1001
1575531900,8299,1
1575576300,8179,1
1575579600,8180,2000
1575579900,8179,2001
1575580200,8180,2000
1575604800,8255,1
1575605700,8286,4001
1575622500,8275,1
1575632700,8200,1141
1575637200,8248,1
1575642000,8203,2698
1575663600,8222,1
1575694500,8301,1
1575720300,9394,1
1575737100,8310,969
1575753300,8315,1
1575760800,8219,1
1575761100,8218,1441
1575761400,8219,1
1575761700,8218,1441
1575810900,8098,1
1575827700,8190,3000
1575836400,8095,400
1575838200,8140,700
1575838500,8211,5700
1575838800,8140,700
1575839400,8211,5700
1575839700,8140,700
1575840000,8220,5300
1575842400,8221,5000
1575860100,8130,4998
1575870300,8250,1
1575898800,8134,501
1575921300,8100,1
1575928200,8005,128
1575933900,8049,1
1575935400,8110,1
1575936300,8119,11001
1575936600,8110,1
1575937200,8119,11001
1575938400,8105,12446
1575939900,8005,1445
1575940200,8105,12445
1575940500,8005,1445
1575950700,8128,1
1575954300,8080,1
1575979800,8130,225
1576008900,8080,581
1576014600,8077,12
1576020600,8078,2013
1576021200,8077,4198
1576021800,8078,2013
1576022400,8070,9
1576023300,8079,1210
1576023600,8070,9
1576027200,7979,10
1576056000,7994,1
1576070700,7995,1
1576141500,7991,1
1576145700,7989,1
1576152000,7980,2
1576159800,7991,20
1576169400,7960,1
1576182300,7978,1
1576184700,7975,5
1576185900,7974,3
1576186200,7975,4
1576186800,7974,3
1576195200,7952,642
1576200600,7970,2000
1576201500,7969,4200
1576202100,7970,2000
1576202400,7969,4200
1576205400,7970,5000
1576205700,7969,7180
1576206000,7970,5000
1576251300,7842,1
1576284600,7874,1
1576310700,7872,2010
1576314300,7671,246
1576314600,7872,2010
1576314900,7671,246
1576323600,7885,6001
1576336800,7840,2000
1576346100,7752,670
1576355400,7791,1
1576359000,7671,1391
1576360800,7752,10391
1576362600,7765,9000
1576366200,7763,2000
1576369800,7690,1
1576382400,7750,1
1576386000,7774,2700
1576391700,7671,60
1576401000,7659,1
1576408200,7698,1
1576410000,7696,2
1576422900,7703,1546
1576431900,7670,1214
1576437300,7699,1
1576440900,7765,501
1576444800,7766,1
1576455600,7750,1
1576457400,7755,4867
1576459200,7758,7001
1576461000,7766,8396
1576462800,7767,6002
1576464600,7700,1
1576493700,7779,594
1576494300,7780,632
1576495800,7824,732
1576497300,7827,693
1576497600,8100,100
1576503000,7800,4495
1576524600,7820,1
1576535700,7747,4000
1576539000,7750,1
1576563300,7868,1
1576570500,7800,3000
1576575600,7870,1
1576594500,7799,2001
1576598100,7811,91
1576608000,7840,1
1576617300,7868,40
1576626300,7810,6719
1576628400,7817,11484
1576628700,7816,12385
1576629000,7817,11484
1576629900,7821,7281
1576631700,7810,2423
1576657200,7999,1
1576666500,8149,800
1576678500,8113,1
1576697400,7950,1001
1576700100,7953,1080
1576701000,7999,79
1576704900,7998,1
1576725600,7911,1
1576728600,7901,1570
1576729200,7911,1
1576729500,7901,2983
1576738500,7950,2000
1576760100,7983,7001
1576769100,8058,2800
1576773000,8010,2001
1576776600,7950,200
1576778400,7935,700
1576780500,7940,1100
1576782300,7946,1300
1576783800,7944,700
1576787700,7919,28
1576789500,7921,35
1576791300,7929,7
1576796400,7999,1
1576799100,7929,11001
1576799400,7999,1
1576800000,7929,11001
1576802100,7845,503
1576802400,7929,11000
1576803000,7845,503
1576803900,7828,1005
1576806000,7811,503
1576806600,7828,1005
1576806900,7811,503
1576825800,7895,860
1576882200,7910,2159
1576889400,8312,195
1576891200,8316,1082
1576893000,8318,1871
1576905900,7923,620
1576955100,8100,1
1576962600,8245,201
1576964400,8093,709
1576966200,8033,559
1576975200,8120,2000
1576986300,8482,3
1576988100,8373,33
1576989900,8363,30
1576997400,8781,1
1577001000,8350,1
1577002800,8274,2
1577004600,8199,1
1577010000,8149,1
1577026500,8125,1
1577039400,8078,20
1577041500,8032,1527
1577041800,8031,1567
1577042400,8032,1527
1577043000,8031,1567
1577043300,8013,1460
1577043900,8015,1511
1577044500,8013,1460
1577045100,8071,2461
1577045700,8055,2873
