timestamp,avg,qty
1575459600,50,1
1575729300,394,1
1576067400,443,1
1576477200,404,1
1576479000,404,1
1576632900,404,31
1576945800,518,1
1577844900,458,5
1578341100,380,1
1578356700,230,1
1578414900,300,10
1578547500,384,18
1578976500,266,2
1579741800,31,1
1579823100,229,1
1581520200,300,1
1581671100,400,1
1581900600,500,3
1582075500,500,1
1582772400,701,3
1583376300,703,2
1583401500,700,23449
1583403900,700,23449
1583987700,540,2
1585071000,390,29
1585346400,390,81
1585350000,375,41
1585782900,375,12
1586208300,290,19
1586460300,300,252
1586541300,307,1
1586894100,400,1
1586963100,290,5
1586964900,290,1
1587122100,290,1
1587169500,447,1
1587528000,315,5
1587969600,315,1
1588142400,315,4
1588188000,346,12
1588625100,350,3
1588695000,340,1
1588888200,161,497
1589157300,105,17
1589188200,246,1
1589658000,284,3
1590549300,252,15
1590551400,253,14
1590776400,200,85
1590778200,200,85
1590780000,206,1
1590803700,290,7
1590870900,367,13
1591939500,401,1
1593465300,349,1
1594210500,488,2
1594293600,500,5
1594681200,471,1
1595475900,536,2
1595981700,350,1
1596656400,376,1
1596743700,376,2
1598800800,132,1
1598816700,237,1
1599937200,320,1
1600175700,280,3
1601099100,447,1
1601603100,550,1
1602417600,498,1
1602532200,489,5
1602541500,489,100
1604406600,142,1
1604876700,500,1
1605869100,171,1
1606019700,171,1
1606159200,350,1
1608500400,658,2588
1609369200,549,1
1610988900,212,8
1610990400,212,8
1610990700,212,8
1610991600,212,8
1611204900,404,1
1611533700,310,1
1612331700,310,1
1612366800,368,2
1612367100,368,2
1612367400,368,2
1612367700,368,2
1612624200,541,1002
