timestamp,avg,qty
1574985300,394249,1
1574991000,415600,23
1574992800,415614,24
1574994300,409533,3
1574996400,406325,2
1574997900,396701,1
1575010800,426500,1
1575014100,426994,2
1575015900,403697,7
1575018000,394378,5
1575019800,439000,3
1575039600,439500,1
1575051000,441000,1
1575056700,437003,3
1575066000,485000,2
1575068100,488333,12
1575069900,489000,10
1575092100,528125,10
1575111300,527800,1
1575115800,528125,1
1575125700,535200,1
1575133800,531249,4
1575134400,530999,5
1575135900,530000,4
1575136200,530999,5
1575136800,530000,1
1575137700,550000,1
1575138000,530000,1
1575138600,550000,1
1575140700,533000,18
1575141000,550000,1
1575141300,532000,17
1575141900,533000,18
1575142200,532000,17
1575144900,575555,1
1575157500,575000,1
1575170100,569000,1
1575171900,569999,1
1575172800,569499,2
1575173100,569999,1
1575184800,575555,10
1575203700,570681,1
1575204000,573118,2
1575204300,570681,1
1575204900,573118,2
1575207000,575555,1
1575207300,573118,2
1575207600,575555,1
1575210600,572777,2
1575210900,575555,1
1575211200,572777,2
1575211800,571388,4
1575212100,572777,2
1575212400,571388,4
1575213300,570000,3
1575219900,575555,21
1575223200,575277,4
1575223800,575555,23
1575224100,575277,4
1575224400,575237,7
1575224700,575277,4
1575225000,575237,7
1575225900,575158,14
1575227100,575185,12
1575228000,575138,8
1575228300,575185,12
1575228600,575138,8
1575228900,575000,10
1575229200,575138,8
1575229800,575000,10
1575230700,576368,19
1575232200,575866,30
1575232800,575666,39
1575233400,575999,26
1575234000,577043,23
1575234300,575999,26
1575235200,577043,23
1575235800,598500,2
1575237300,599500,2
1575237600,591403,3
1575237900,599500,2
1575238200,591403,3
1575238500,599500,2
1575238800,591403,3
1575239700,597308,13
1575240300,591403,3
1575240600,597308,13
1575242100,599072,11
1575242700,598733,12
1575243600,596999,2
1575243900,598733,12
1575244200,596999,2
1575244800,592000,2
1575246300,589000,1
1575248100,604072,79
1575250500,610000,1
1575259200,700000,1
1575263100,701826,2
1575263400,700000,1
1575264000,701826,2
1575264300,700000,1
1575264600,701826,2
1575266400,703652,1
1575268200,790000,1
1575273600,794996,1
1575279000,800000,2
1575288600,867500,2
1575292500,860000,1
1575294600,825456,22
1575294900,860000,1
1575295500,824349,23
1575295800,825456,22
1575296100,824349,23
1575296400,821741,23
1575297000,824349,23
1575297300,821741,23
1575298800,804758,28
1575300300,804934,27
1575304500,759997,1
1575308100,765797,5
1575308400,759997,3
1575309000,765797,5
1575309300,759997,3
1575309600,767247,4
1575311400,769664,3
1575311700,767247,4
1575312000,769664,3
1575318300,765000,1
1575329400,666000,1
1575336900,758999,1
1575344100,710831,2
1575346200,662663,1
1575346800,710831,2
1575347100,662663,1
1575347400,710831,2
1575353100,736110,8
1575355500,700000,2
1575355800,736110,8
1575356100,700000,2
1575357300,757989,1
1575373800,794666,1
1575379200,716400,5
1575381000,715000,6
1575382800,707999,2
1575383100,708000,1
1575384000,707999,2
1575395400,700000,2
1575415500,720000,1
1575424800,750000,1
1575430200,749000,1
1575435900,748996,1
1575444600,748995,2
1575448500,740000,1
1575477600,748000,1
1575481800,749000,1
1575486600,750000,4
1575492000,748995,1
1575493200,732055,2
1575493500,748995,1
1575493800,732055,2
1575496200,748988,1
1575496800,732052,2
1575497400,748988,1
1575505500,747000,2
1575507000,747650,3
1575507600,747862,4
1575509100,748500,1
1575509400,747862,4
1575510000,748500,1
1575513000,726530,1
1575517800,749999,3
1575561600,729995,1
1575564300,729997,2
1575564600,729995,1
1575564900,729997,2
1575566100,729999,1
1575590100,729500,1
1575590700,729499,3
1575598200,729500,1
1575606300,729000,1
1575606900,729500,1
1575607200,729000,1
1575619500,729498,2
1575622500,729497,2
1575623100,729498,3
1575623400,729497,2
1575635400,719999,12
1575660000,714223,1
1575662400,707375,3
1575662700,714223,2
1575663000,707375,3
1575664500,695340,2
1575664800,707375,3
1575665100,695340,2
1575666000,697000,2
1575666300,695340,2
1575666900,697000,1
1575675900,714000,20
1575680100,714223,2
1575681900,709917,4
1575682200,707927,6
1575683700,702538,7
1575685800,692213,2
1575686100,698080,4
1575686700,692213,2
1575687000,698080,4
1575692700,685500,2
1575694500,689666,3
1575696300,698000,1
1575711600,693999,1
1575725700,680000,1
1575731100,671284,95
1575732900,671191,94
1575740400,650000,4
1575742500,645000,5
1575744300,661000,3
1575746100,678666,3
1575747900,678000,1
1575762900,650000,2
1575766500,668999,1
1575803100,648000,1
1575807300,637500,1
1575810300,614169,3
1575810600,602504,3
1575810900,629420,13
1575811800,602504,3
1575812100,629420,13
1575813300,634314,11
1575813900,629420,13
1575814200,637496,10
1575814500,634314,11
1575815100,637496,10
1575816300,637498,1
1575822000,637500,1
1575827700,636999,2
1575829500,627103,5
1575830700,620507,9
1575831000,627103,5
1575831300,620507,9
1575835800,633999,1
1575845700,620282,5
1575847200,624115,7
1575849600,633700,1
1575855000,641557,20
1575856800,641878,21
1575857100,641557,20
1575857400,641878,21
1575858600,648300,1
1575860100,648352,2
1575860400,648300,1
1575860700,648404,1
1575861000,648352,2
1575861300,648404,1
1575871200,650000,1
1575893400,649000,1
1575905700,665000,1
1575908100,647662,2
1575909000,630324,1
1575917400,628555,3
1575923100,630324,4
1575942900,609497,2
1575944400,612663,3
1575944700,609497,2
1575945000,612663,3
1575946500,618994,1
1575952500,618000,5
1575955500,619759,6
1575955800,618000,5
1575956100,622194,4
1575956400,619759,6
1575957000,622194,4
1575959700,630320,2
1575960600,624172,5
1575960900,630320,2
1575976500,625000,1
1576001400,619666,1
1576005900,619500,1
1576008000,619311,2
1576008300,619500,1
1576008900,619311,2
1576010100,619123,7
1576010400,619311,2
1576010700,619123,7
1576014600,619666,1
1576023900,618999,1
1576029000,646997,1
1576050000,680000,4
1576066800,749995,2
1576076400,748996,1
1576077300,662202,5
1576077900,748996,1
1576078200,662202,5
1576078800,658586,6
1576080000,640504,5
1576083600,680071,3
1576086900,718472,2
1576087200,680071,3
1576087500,718472,2
1576092000,730931,16
1576093200,722548,20
1576095600,722892,18
1576095900,689017,14
1576096500,689018,11
1576097100,689017,14
1576097400,689018,11
1576097700,693288,14
1576098000,689018,11
1576098300,693004,15
1576098900,693288,14
1576099200,693004,15
1576099800,700977,5
1576100100,703966,4
1576100400,700977,5
1576100700,703966,4
1576101000,689024,1
1576101600,703966,4
1576101900,689024,1
1576103700,748698,1
1576104600,732489,3
1576104900,748698,1
1576105200,732489,3
1576119000,789999,1
1576128300,797000,1
1576138800,779999,1
1576139100,720085,4
1576139400,779999,1
1576140000,720085,4
1576141500,702868,29
1576142100,700114,28
1576142700,701183,28
1576143000,700114,28
1576143600,701183,28
1576144200,703698,39
1576144500,710099,14
1576145700,711147,19
1576146300,711344,16
1576146600,711147,19
1576146900,711344,16
1576147500,712946,7
1576147800,711344,16
1576148400,712946,7
1576149900,710104,2
1576153800,729950,1
1576155000,743042,3
1576155300,729950,1
1576155900,743042,3
1576156200,724220,7
1576156500,743042,3
1576156800,724220,7
1576158000,723265,6
1576158600,710104,4
1576159200,723265,6
1576159500,710104,4
1576165200,747000,1
1576171200,722002,1
1576173000,740001,2
1576173300,722002,1
1576174200,740001,2
1576174500,758000,1
1576174800,740001,2
1576175100,758000,1
1576180500,793996,10
1576183500,752928,11
1576183800,793996,10
1576184100,752928,11
1576185300,752305,14
1576185900,750021,13
1576186200,752305,14
1576186800,750021,13
1576199700,793996,1
1576201500,801758,2
1576202100,793996,1
1576202400,809521,1
1576202700,801758,2
1576203000,809521,1
1576207200,800000,1
1576207800,804760,2
1576209600,806347,3
1576209900,809521,2
1576227900,671097,67
1576240500,808433,1
1576246200,807566,1
1576253700,848848,1
1576257300,849999,1
1576257900,849423,2
1576258500,849999,1
1576279800,839971,1
1576294200,840000,1
1576297800,888000,1
1576304100,849999,1
1576305000,849998,2
1576305600,849999,1
1576305900,838916,5
1576306200,849998,2
1576306500,838916,5
1576307100,836145,8
1576307400,838916,5
1576307700,836145,8
1576308000,834166,7
1576308600,836145,8
1576308900,833580,9
1576309200,834166,7
1576309500,834606,6
1576310700,848458,24
1576311000,834606,6
1576311300,848458,24
1576312500,849997,22
1576312800,848458,24
1576313100,849997,22
1576314300,834935,7
1576314600,849997,22
1576314900,834935,7
1576316100,832425,7
1576320000,841212,4
1576323600,832425,4
1576327800,832431,6
1576335300,849655,2
1576342200,888000,1
1576346100,887995,1
1576347900,886000,1
1576348500,886997,2
1576349700,878720,2
1576351500,871441,1
1576359000,884000,2
1576364400,884149,4
1576366200,884099,4
1576368000,883800,2
1576380600,883951,13
1576382400,883997,10
1576391700,883496,2
1576397100,883488,1
