timestamp,avg,qty
1575027300,45000,1
1575055200,37877,2
1575056700,30755,1
1575066000,35475,1
1575075300,43118,1
1575082800,100000,2
1575086700,95000,1
1575097500,26475,1
1575101400,32178,2
1575132300,52407,1
1575144600,87999,1
1575170100,87000,1
1575181200,32178,10
1575184800,49956,2
1575187500,49912,1
1575188100,49956,2
1575188400,49912,1
1575189000,40000,1
1575192900,35700,1
1575204900,99900,1
1575216000,80000,1
1575227100,99900,1
1575228000,59302,3
1575228300,99900,1
1575228600,59302,3
1575230700,39003,2
1575235800,58947,1
1575240600,42000,1
1575244800,58222,1
1575259200,99900,1
1575264600,58947,1
1575291900,85000,1
1575317100,50000,1
1575319200,60800,5
1575321000,63500,2
1575321300,60800,5
1575321600,63500,2
1575321900,60800,5
1575322200,63500,2
1575322800,50000,1
1575342600,76000,1
1575343500,80500,2
1575343800,76000,1
1575344100,80500,2
1575411900,55250,1
1575426600,75000,1
1575428100,57594,8
1575430200,55107,7
1575473700,39003,3
1575481800,70000,1
1575493200,80000,1
1575504600,65000,1
1575546300,59997,1
1575574200,58999,1
1575580800,49235,11
1575583200,48259,10
1575583500,49235,11
1575584100,58995,1
1575584400,48259,10
1575585000,58995,1
1575598800,70000,1
1575636300,33313,1
1575638700,32343,5
1575639300,32101,4
1575639600,32343,5
1575639900,32101,4
1575651900,33313,5
1575696300,10000,1
1575731100,31531,1
1575759000,24915,2
1575770100,29955,1
1575771900,31572,2
1575773700,32705,5
1575775500,32583,4
1575775800,32705,5
1575776100,32583,4
1575788100,34000,1
1575801300,25685,1
1575812400,31531,1
1575842100,29522,2
1575842400,28766,1
1575843300,29522,2
1575849600,22260,1
1575860100,28766,1
1575904500,25264,1
1575908100,24001,1
1575940800,25264,1
1575944400,28000,1
1575944700,25264,1
1575945000,28000,1
1575956100,26593,1
1576007100,30000,3
1576056000,28102,1
1576083600,26697,1
1576103700,20000,1
1576108200,28102,1
1576131900,29500,1
1576165200,29581,1
1576173000,20993,3
1576196100,18478,1
1576264500,21593,1
1576265700,18734,2
1576266300,21593,1
1576266600,18734,2
1576267500,15876,1
1576268100,18734,2
1576268400,15876,1
1576286700,25184,1
1576294800,25979,5
1576304100,25184,1
1576308900,25000,1
1576351500,23671,4
1576356900,25253,8
1576366200,25241,4
1576371600,26918,4
1576402800,27834,3
1576440900,23566,1
1576461000,24000,1
1576514100,16460,1
1576528200,23749,4
1576554000,22216,3
1576557300,21365,5
1576557900,20089,2
1576558500,21365,5
1576558800,20089,2
1576559400,20565,3
1576561200,21518,1
1576568700,22650,1
1576631700,15326,2
1576666500,20601,1
1576732200,24806,1
1576806000,13992,1
1576809300,13526,3
1576809600,13293,2
1576809900,13526,3
1576810800,13293,2
1576818300,19751,2
1576825800,21085,1
1576854300,18478,1
1576858500,19101,4
1576865700,20473,1
1576871400,12500,1
1576876500,20473,1
1576914900,14321,1
1576916700,14687,2
1576918500,15053,1
1576920300,18000,1
1576924200,19401,1
1576940400,21085,1
1576964400,14125,2
1576979100,15867,1
1576982700,21550,1
1577021400,18506,1
1577031900,13000,1
1577043300,18791,1
1577059500,25000,1
1577137200,34000,1
1577145600,16823,1
1577202300,18003,1
1577213400,14681,1
1577238600,17122,1
1577291700,16843,2
1577331600,17275,1
1577373600,100000,1
1577397300,20000,2
1577427900,79000,1
1577473500,189998,1
1577508300,100000,1
1577563800,82653,1
1577565000,58959,2
1577565300,82653,1
1577565600,58959,2
1577566800,35266,1
1577567100,58959,2
1577567400,35266,1
1577601600,57441,2
1577688000,28934,4
1577691900,31000,1
1577692200,29347,5
1577692800,31000,1
1577702700,50000,3
1577714700,65941,1
1577726100,50000,4
1577727300,44331,5
1577729700,21655,1
1577743800,45853,4
1577747400,43344,5
1577747700,45853,4
1577748000,33309,1
1577748600,43344,5
1577749200,33309,1
1577749800,31761,2
1577751600,30213,1
1577775300,65000,1
1577786100,35000,1
1577841300,51186,1
1577843100,43093,2
1577844900,35000,1
1577891700,46758,1
1577895600,35000,7
1577917500,64500,1
1577965500,35000,1
1578000900,62217,4
1578021300,35000,2
1578040500,49999,1
1578073800,27348,1
1578077400,39139,5
1578091800,44595,1
1578117900,25698,1
1578139800,45213,1
1578147600,25706,1
1578174600,22350,1
1578183600,37212,1
1578186900,30369,2
1578187200,37212,1
1578187500,30369,2
1578188700,23526,1
1578189000,30369,2
1578189300,23526,1
1578191100,24764,2
1578205800,37233,1
1578254100,26124,1
1578309000,42123,1
1578335100,52009,2
1578336600,49115,3
1578338400,43327,1
1578338700,49115,3
1578339000,43327,1
1578346500,26124,3
1578348300,28550,4
1578349500,35828,1
1578353100,29500,2
1578398700,58664,1
1578409500,26124,6
1578433200,60421,4
1578438900,52753,1
1578445800,52000,1
1578516300,33400,1
1578535800,43222,1
1578614100,47532,1
1578618000,21165,1
1578621600,47532,1
1578655500,40000,1
1578667200,25232,1
1578669000,25130,15
1578670800,25123,14
1578722700,25232,1
1578752700,25043,2
1578776700,28073,4
1578782100,25043,6
1578793200,30000,1
1578800700,29500,1
1578813600,27354,1
1578823200,25987,1
1578838500,24688,1
1578846000,27354,1
1578855000,15125,1
1578864300,20435,1
1578895800,23833,1
1578899400,26407,2
1578926400,26103,1
1578941700,27796,1
1578945300,27784,1
1578967500,26550,1
1578982200,25223,1
1579023600,26550,1
1579056300,20545,1
1579071000,17027,2
1579116300,20902,2
1579118100,18976,3
1579119900,15125,1
1579127400,17005,1
1579129200,20001,3
1579131000,21500,2
1579211100,20874,1
1579215000,21500,1
1579220400,19831,1
1579227600,21917,1
1579250100,1000,1
1579283700,22550,2
1579303800,24345,1
1579361700,25223,1
1579376400,21971,1
1579385400,15343,8
1579401900,21710,2
1579404000,21140,3
1579405800,20000,1
1579411500,22787,1
1579430100,21474,1
1579487400,17492,1
1579492800,18412,1
1579513500,21474,1
1579515300,22039,2
1579517400,22604,2
1579530600,27231,1
1579538400,17231,21
1579540200,17198,22
1579542000,16523,1
1579556700,16232,2
