timestamp,avg,qty
1574973000,175874,4
1574973300,175666,6
1574973600,175874,4
1574974200,175666,6
1574974800,175249,4
1574975400,175299,5
1574976900,175332,3
1574977200,175499,1
1574977500,175332,3
1574978100,175499,1
1574978400,175999,1
1574982600,171591,1
1574983500,173795,2
1574984400,174529,3
1574984700,173795,2
1574985000,174529,3
1574985300,175259,6
1574985600,174529,3
1574986200,175993,6
1574986500,175259,6
1574987100,175991,5
1574987700,175993,6
1574988000,175990,4
1574988300,175991,5
1574988900,175990,4
1574989500,175863,3
1574990400,175800,3
1574991000,175794,4
1574991600,175800,3
1574991900,175794,4
1574992800,175830,5
1574994300,175033,5
1574996400,174529,3
1574997900,174696,3
1575000000,174045,2
1575001500,171591,2
1575008700,176825,3
1575019800,177493,2
1575023700,177475,1
1575027300,169999,1
1575032700,177493,1
1575039600,176993,1
1575043500,175192,3
1575043800,175394,4
1575044100,175192,3
1575044400,175394,4
1575045000,175192,3
1575045300,175350,5
1575045600,175394,4
1575045900,174939,4
1575046500,175350,5
1575046800,174939,4
1575047700,176134,4
1575049200,176271,5
1575051000,176543,6
1575052800,176723,6
1575053100,176670,5
1575053400,176723,6
1575053700,176670,5
1575054000,176723,6
1575054600,176670,5
1575055200,176549,3
1575056700,176097,3
1575058500,175860,2
1575060600,174924,2
1575062100,173988,1
1575062400,174894,2
1575064200,174300,6
1575064500,174111,9
1575065100,174300,6
1575065400,174111,9
1575065700,174300,6
1575066000,174315,19
1575067800,174304,20
1575068100,174406,15
1575069900,174369,15
1575070500,174388,14
1575070800,174369,15
1575071400,174388,14
1575071700,174399,14
1575072300,174391,15
1575073200,174399,14
1575073500,174430,1
1575073800,174405,2
1575074400,174430,1
1575075300,174384,2
1575077100,174380,3
1575079200,172679,7
1575081000,172000,6
1575084600,173500,10
1575086700,173810,8
1575088500,173174,5
1575090300,174130,3
1575092100,175854,2
1575093900,174308,12
1575095700,173838,11
1575097500,172780,7
1575099600,172779,7
1575101400,172227,1
1575102900,172494,2
1575103800,172762,1
1575104100,172494,2
1575104700,172762,1
1575105900,172748,4
1575106500,172558,4
1575106800,172748,4
1575107400,172558,4
1575109800,172000,1
1575111300,172540,1
1575114900,172365,2
1575118500,172347,1
1575118800,172365,2
1575119100,172347,1
1575120300,172288,2
1575120900,172273,12
1575121200,172328,13
1575122100,172273,12
1575122400,172378,13
1575122700,172328,13
1575123000,172390,12
1575123600,172378,13
1575123900,172390,12
1575125100,172738,3
1575125700,172611,2
1575126300,172484,2
1575126900,172923,22
1575127200,172484,2
1575127800,172923,22
1575128400,172956,21
1575129900,172967,20
1575130500,172777,2
1575132000,171851,3
1575132300,172221,5
1575132900,171851,3
1575133200,172221,5
1575134400,171851,3
1575135000,172585,3
1575135300,171851,3
1575135600,172585,3
1575135900,172203,1
1575136200,172585,3
1575136800,172334,3
1575139500,171600,3
1575139800,171595,4
1575140400,171600,3
1575140700,171054,3
1575141000,171595,4
1575141300,171186,4
1575141900,171054,3
1575142200,171186,4
1575142500,172122,18
1575143100,172153,17
1575143400,172122,18
1575143700,172153,17
1575144600,172230,17
1575147900,172306,2
1575148800,172274,3
1575149100,172306,2
1575149400,172274,3
1575149700,172263,4
1575150000,172274,3
1575150300,172263,4
1575151800,172235,5
1575153300,172240,8
1575153600,172241,4
1575153900,172240,8
1575155700,172247,16
1575156900,171776,22
1575157200,172247,16
1575157500,171776,22
1575159300,171300,11
1575160800,171755,2
1575161400,171751,8
1575161700,171755,2
1575162000,171751,8
1575164700,171818,7
1575165000,172228,1
1575165600,171818,7
1575165900,172228,1
1575168300,171800,3
1575170100,171626,8
1575170400,171796,5
1575171600,171626,8
1575171900,171600,7
1575173700,171552,8
1575175200,171427,7
1575175500,171280,5
1575176100,171700,8
1575176700,171280,5
1575177300,172332,5
1575179400,172065,7
1575181200,172077,10
1575183000,172340,11
1575184800,172448,6
1575186600,172425,4
1575187500,172489,2
1575188100,172425,4
1575188400,172489,2
1575189000,172490,1
1575190200,168243,5
1575190500,172490,1
1575190800,168243,5
1575191400,168691,7
1575192000,168243,5
1575192300,167616,26
1575192900,167753,29
1575193500,167616,26
1575194100,167753,29
1575194700,168024,26
1575195300,170645,20
1575196500,172497,14
1575198000,172498,12
1575199500,172496,2
1575199800,172493,1
1575201300,171993,1
1575204900,171863,12
1575205200,171993,1
1575205800,171863,12
1575206100,171891,13
1575206400,171863,12
1575206700,171891,13
1575207000,171883,14
1575207300,171891,13
1575207600,171883,14
1575208800,172002,2
1575209100,171980,13
1575209400,171774,2
1575209700,172002,2
1575210000,171774,2
1575210600,171193,2
1575210900,171774,2
1575211200,171193,2
1575211800,171728,24
1575212100,171193,2
1575212400,171728,24
1575213300,171756,26
1575213600,171738,25
1575213900,171756,26
1575214500,171781,29
1575214800,171756,26
1575215100,171820,8
1575215700,171781,29
1575216000,171791,8
1575216600,171820,8
1575216900,171671,5
1575217200,171791,8
1575217800,171671,5
1575218700,171763,1
1575219300,171935,4
1575219600,171763,1
1575219900,170613,1
1575220200,171188,2
1575220500,170613,1
1575221400,171139,2
1575223200,171666,1
1575223800,171139,2
1575224100,171666,1
1575224400,172079,2
1575224700,171666,1
1575225000,172079,2
1575225900,173615,3
1575228000,175534,3
1575228300,173615,3
1575228600,175534,3
1575228900,178251,2
1575229200,175534,3
1575229800,178251,2
1575232200,174620,5
1575232800,178251,3
1575233400,173518,20
1575234000,173735,21
1575234300,173518,20
1575235200,173735,21
1575235800,174544,22
1575237300,177268,5
1575238800,177350,10
1575239100,177268,5
1575239400,177350,10
1575239700,177291,11
1575240300,177350,10
1575240600,177482,11
1575242700,177175,4
1575243600,176901,4
1575243900,177175,4
1575244200,176901,4
1575244800,176867,3
1575246300,177517,6
1575246600,177640,5
1575246900,177517,6
1575247200,177640,5
1575247500,177517,6
1575247800,177640,5
1575248100,178200,5
1575249000,178158,6
1575250200,178150,3
1575250500,178025,3
1575252000,177546,7
1575252900,177478,6
1575253800,177124,7
1575255600,174999,1
1575257400,175890,2
1575259200,176145,4
1575261000,176131,4
1575262800,176175,3
1575264600,174784,2
1575266400,175156,3
1575268200,174943,4
1575270300,174969,2
1575270600,174686,4
1575271200,174969,2
1575272100,175214,3
1575273600,175385,2
1575274200,175379,3
1575274500,175385,2
1575274800,175379,3
1575275400,175367,1
1575284400,174999,1
1575286200,174954,2
1575287700,175469,3
1575288000,174985,4
1575288300,175469,3
1575288600,174985,4
1575290100,175011,3
1575290700,174267,2
1575291000,175011,3
1575291600,174267,2
1575291900,174585,2
1575294600,174871,2
1575294900,174585,2
1575295500,175030,2
1575295800,174871,2
1575296100,175030,2
1575296400,175154,3
1575297000,175030,2
1575297300,175154,3
1575297600,175239,4
1575298800,175289,5
1575299700,175470,4
1575300300,175493,3
1575300900,176006,12
1575302100,175887,11
1575303900,173670,1
1575304200,175887,11
1575304500,174332,2
1575304800,173670,1
1575305100,174332,2
1575305400,173670,1
1575305700,174332,2
1575306300,174282,2
1575307800,174276,3
1575308100,173916,2
1575308400,174276,3
1575309000,173916,2
1575309300,174276,3
1575309600,174125,7
1575309900,174068,8
1575310200,174125,7
1575311100,174068,8
1575311400,174074,9
1575311700,174068,8
1575312000,174074,9
1575312300,174064,10
1575312600,174074,9
1575313200,174008,4
1575314100,173593,4
1575314400,174008,4
1575315000,173899,10
1575315300,173593,4
1575315600,173899,10
1575315900,173890,9
1575317100,174147,11
1575318300,174142,10
1575319200,171264,7
1575319500,174200,4
1575320100,171264,7
1575320400,166208,9
1575320700,171264,7
1575321000,166208,9
1575322800,163925,5
1575324600,174831,2
1575325800,175218,3
1575326100,174831,2
1575326400,175218,3
1575327900,175560,2
1575328200,175704,3
1575328500,175560,2
1575329100,175704,3
1575329400,175884,8
1575329700,175704,3
1575330000,175884,8
1575330300,175638,9
1575330900,175884,8
1575331200,175636,10
1575331800,175317,4
1575332100,175636,10
1575332400,175317,4
1575333300,175092,3
1575333600,175993,1
1575333900,175092,3
1575334500,175993,1
1575336900,175917,6
1575337200,175596,7
1575337500,175917,6
1575337800,175596,7
1575338100,175917,6
1575338400,175596,7
1575338700,175583,10
1575339600,175265,5
1575339900,175583,10
1575340200,175265,5
1575340500,175047,7
1575340800,175277,6
1575341400,175047,7
1575342000,175277,6
1575342600,175000,4
1575344100,176083,3
1575346200,174500,2
1575346800,175750,3
1575347100,174500,2
1575347400,175750,3
1575347700,174000,1
1575351600,173910,1
1575357300,173820,1
1575362400,173478,2
1575363300,173137,1
1575363600,173478,2
1575363900,173137,1
1575364200,173263,2
1575366000,173389,1
1575368100,173300,1
1575377100,173211,2
1575379200,173526,5
1575381000,173737,3
1575381300,174000,2
1575381900,173737,3
1575382200,174000,2
1575388200,171999,1
1575391800,171910,2
1575393600,173271,3
1575395400,173942,2
1575397500,172758,3
1575397800,173567,4
1575398100,172758,3
1575398400,173567,4
1575399000,174592,4
1575400800,175993,1
1575402600,173137,1
1575404700,173077,3
1575408000,173137,1
1575411900,173950,7
1575414000,174560,4
1575414600,174275,5
1575414900,174560,4
1575415200,174275,5
1575415500,175134,2
1575416100,174564,5
1575416700,175134,2
1575417300,174564,5
1575417600,174811,7
1575418200,174564,5
1575418500,174811,7
1575418800,174564,5
1575419100,174811,7
1575419400,173772,9
1575420300,173875,12
1575420900,173137,6
1575422700,173733,2
1575426600,178251,16
1575428100,177981,19
1575430200,177653,14
1575430800,176159,4
1575431100,177653,14
1575431700,176625,2
1575432000,176159,4
1575432300,176625,2
1575433500,175347,4
1575435900,174379,3
1575437700,173137,2
1575440400,173107,3
1575440700,173137,2
1575441000,173048,1
1575448500,173137,5
1575455700,172000,2
1575457800,172364,7
1575459300,172509,5
1575459600,172614,6
1575460200,172509,5
1575460500,172614,6
1575460800,172509,5
1575461100,172614,6
1575461400,173137,2
1575471900,175993,3
1575473700,175295,4
1575474000,175993,3
1575474300,175295,4
1575475500,173202,1
1575475800,175295,4
1575476100,173202,1
1575477300,174597,2
1575477600,175993,1
1575477900,174597,2
1575478500,175993,1
1575478800,174597,2
1575479700,173202,1
1575480300,174597,2
1575480900,173202,1
1575481800,174507,1
1575482400,173202,1
1575482700,174507,1
1575483300,175497,3
1575485400,175993,2
1575485700,175497,3
1575486300,175993,2
1575486600,175493,1
1575486900,175993,2
1575487200,175246,6
1575487500,175493,1
1575487800,175246,6
1575490800,175268,3
1575492000,174052,6
1575493200,173973,7
1575493500,174052,6
1575493800,173500,6
1575494100,173973,7
1575494400,173500,6
1575496200,173401,12
1575496800,173400,3
1575497400,173401,12
1575498000,173393,12
1575498300,173392,11
1575499200,173393,12
1575499500,173385,16
1575500100,173334,7
1575500400,173385,16
1575500700,173334,7
1575501000,173325,17
1575501300,173334,7
1575501900,173325,17
1575502200,173320,15
1575502500,173325,17
1575502800,173320,15
1575503400,173316,11
1575504300,173319,11
1575504600,173106,3
1575505200,173319,11
1575505500,173106,3
1575507600,173375,4
1575508200,173500,3
1575508800,173375,4
1575509100,173500,3
1575513000,173381,4
1575513600,170556,6
1575514200,171255,8
1575514800,165127,16
1575515100,171255,8
1575515400,161128,25
1575515700,165127,16
1575516000,161128,25
1575516300,165127,16
1575516600,161128,25
1575517800,159476,21
1575518100,161128,25
1575518400,159476,21
1575518700,160633,15
1575519600,173500,1
1575519900,160633,15
1575520200,173500,1
1575522000,173133,3
1575522600,173500,2
1575522900,173133,3
1575523500,173087,4
1575525000,172950,3
1575526500,172861,1
1575526800,172950,1
1575527400,172861,4
1575532800,173202,1
1575539400,174444,1
1575549300,165791,17
1575555000,173202,1
1575556200,172882,3
1575556500,173202,1
1575556800,172882,3
1575558600,172722,2
1575559200,171000,1
1575559500,172722,2
1575559800,171000,1
1575561600,173169,4
1575563400,172212,8
1575564000,173174,6
1575564300,170094,5
1575564600,172212,8
1575564900,170094,5
1575566100,168034,3
1575566700,170094,5
1575567000,168034,3
1575567300,165450,1
1575569100,171000,1
1575574200,170000,2
1575579600,171746,2
1575579900,170000,4
1575580200,171746,2
1575580800,165828,28
1575581700,166026,34
1575582600,166226,47
1575582900,166026,34
1575583200,166282,51
1575583500,166226,47
1575584100,167191,29
1575584400,166282,51
1575585000,167191,29
1575585900,170644,4
1575586500,167499,19
1575587100,173493,1
1575591300,173000,1
1575593100,172202,4
1575593700,171772,3
1575594000,172202,4
1575594900,172361,5
1575595200,172202,4
1575595500,172361,5
1575595800,172202,4
1575596100,172361,5
1575596400,173123,4
1575598200,172910,3
1575598800,172865,2
1575600600,172887,3
1575601200,172865,2
1575601500,172363,3
1575602100,172887,3
1575602400,172045,2
1575607200,172095,3
1575609300,172444,4
1575609600,172095,3
1575609900,172444,4
1575610200,172653,5
1575611100,173491,2
1575611400,172653,5
1575611700,173491,2
1575618300,177763,2
1575619500,178007,4
1575622500,173993,3
1575636300,160835,1
1575638700,160267,5
1575639300,160125,4
1575639600,160267,5
1575639900,160125,4
1575641100,161960,5
1575642000,169299,1
1575645000,164220,5
1575646500,160835,6
1575646800,164220,5
1575647100,160835,6
1575647400,161788,8
1575648000,160835,6
1575648300,161788,8
1575648600,162360,5
1575648900,161788,8
1575649200,163467,6
1575649500,162360,5
1575649800,163467,6
1575650100,166824,4
1575650400,163467,6
1575650700,166824,4
1575651300,169000,3
1575651600,166824,4
1575651900,166837,5
1575652800,166307,5
1575653400,166837,5
1575653700,166307,5
1575655500,166755,6
1575655800,169000,2
1575656100,166307,5
1575656700,169000,2
1575658500,170217,4
1575658800,169000,2
1575659400,170972,5
1575659700,170217,4
1575660000,170972,5
1575661800,171540,4
1575663600,171097,3
1575664500,170686,6
1575664800,171097,3
1575665100,171205,6
1575665400,170686,6
1575665700,171205,6
1575666900,172410,2
1575667200,171205,6
1575667500,172410,2
1575669000,172000,1
1575670800,171991,2
1575672300,171982,1
1575672600,171991,2
1575672900,171982,1
1575673200,171977,2
1575673500,171982,1
1575673800,171977,2
1575674400,170636,2
1575675900,169757,3
1575676200,170636,2
1575676500,169757,3
1575676800,168433,3
1575677100,169757,3
1575677700,168433,3
1575678000,168000,2
1575683700,169239,15
1575685800,169441,17
1575687300,170961,2
1575687600,170449,3
1575688200,170961,2
1575688500,170449,3
1575688800,170961,2
1575689100,169427,2
1575691200,169386,3
1575691500,169428,3
1575692700,169364,4
1575693300,168093,5
1575693900,169364,4
1575694200,168093,5
1575694500,166042,6
1575694800,165284,8
1575695400,166042,6
1575695700,165284,8
1575696300,165268,8
1575698400,165525,5
1575699600,167203,3
1575702000,168120,1
1575703800,168744,3
1575705900,169056,2
1575707700,169555,11
1575708000,169512,10
1575708900,169555,11
1575711000,169992,1
1575713100,160835,2
1575722400,167999,1
1575726300,165695,2
1575726600,167999,1
1575726900,165695,2
1575727200,167999,1
1575727500,165695,2
1575731700,168393,1
1575737100,169493,3
1575738600,169207,4
1575740400,168350,1
1575740700,165900,3
1575741000,168350,1
1575741300,165900,3
1575741900,168350,1
1575742500,161669,11
1575744300,161001,10
1575746100,168000,1
1575750000,168393,1
1575751200,168000,5
1575751500,168393,2
1575753300,161877,9
1575753900,163061,11
1575754800,161877,9
1575755100,163881,13
1575757500,168593,3
1575759000,168242,4
1575760800,167992,3
1575764700,167940,1
1575771900,167896,2
1575775500,167830,6
1575775800,167896,2
1575776100,167830,6
1575777300,167809,5
1575777600,167830,6
1575777900,167809,5
1575779400,167906,2
1575779700,167809,6
1575780000,167906,2
1575781200,167875,3
1575781500,167906,2
1575781800,167813,1
1575782100,167875,3
1575782400,167813,1
1575784500,167788,5
1575785100,167656,6
1575786000,167562,7
1575786600,167000,2
1575786900,167562,7
1575787800,167000,2
1575788700,166978,4
1575789900,166971,3
1575793800,166871,1
1575801300,166000,1
1575808800,166493,1
1575810600,165746,2
1575812400,165000,2
1575813300,164666,3
1575813900,165000,2
1575814200,164500,2
1575814500,164666,3
1575814800,164500,2
1575822000,165000,5
1575823800,165639,7
1575824100,165559,8
1575824400,165639,7
1575825600,165665,6
1575827700,165250,6
1575829500,165851,7
1575830700,165993,6
1575831000,165851,7
1575831300,165993,6
1575836400,165499,7
1575836700,165129,4
1575837000,165499,7
1575837300,165129,4
1575837900,165499,7
1575838200,164841,3
1575847200,164800,2
1575849600,164813,3
1575851400,164841,1
1575853200,164800,1
1575860100,164000,1
1575874500,164840,1
1575877500,164841,1
1575877800,164840,2
1575878400,164841,1
1575885900,164993,6
1575904500,162507,2
1575911100,162253,2
1575912000,162000,1
1575912300,162253,2
1575912900,162000,1
1575918000,161666,8
1575918300,162000,5
1575918600,161666,8
1575918900,161466,5
1575921000,161618,7
1575921300,161703,6
1575921600,161618,7
1575922200,162000,2
1575922500,161703,6
1575922800,162000,2
1575928200,162331,3
1575929700,162428,7
1575930000,162415,6
1575930300,162428,7
1575932100,162334,6
1575932400,162169,3
1575932700,162334,6
1575933300,162169,3
1575933900,161999,4
1575935400,161749,4
1575937500,161000,2
1575941700,161499,2
1575942000,161000,2
1575942300,161499,2
1575942900,161999,2
1575948300,162102,1
1575948600,162301,2
1575948900,162102,1
1575949200,162301,2
1575949800,162102,1
1575950100,162301,2
1575950700,162367,3
1575951000,162301,2
1575951600,162367,3
1575952500,162500,1
1575956100,162505,3
1575956400,162500,1
1575957000,162505,3
1575957900,162506,4
1575958500,162505,3
1575959400,162506,4
1575959700,162508,1
1575965400,161493,1
1575981600,161400,1
1575989700,155914,2
1575990300,159819,7
1575990600,155914,2
1575990900,159819,7
1575993000,161369,1
1575994500,161197,9
1575994800,161369,2
1575995100,161215,10
1575995400,161197,9
1575995700,161215,10
1575996300,161197,9
1575996600,161215,10
1575996900,161176,8
1575997200,161197,9
1575997800,161176,8
1575998100,161369,1
1575999300,161493,1
1575999600,161369,1
1575999900,161098,5
1576000500,161493,1
1576000800,161098,5
1576001400,159555,6
1576001700,159594,7
1576002000,159555,6
1576002600,159523,7
1576002900,159594,7
1576003200,159523,7
1576003500,157555,3
1576003800,159523,7
1576004400,160414,2
1576004700,157555,3
1576005000,160414,2
1576006200,159829,1
1576007100,161077,4
1576007400,159829,1
1576008000,161077,4
1576008900,155271,17
1576010100,155222,17
1576010400,155271,17
1576010700,154071,16
1576011000,155222,17
1576011300,154071,16
1576012500,154222,3
1576013100,154071,16
1576013400,153626,4
1576013700,154222,3
1576014600,151835,4
1576016700,151838,3
1576020000,156000,1
1576022400,154459,4
1576023300,153919,2
1576023600,154459,4
1576023900,153945,3
1576026000,157123,4
1576026600,159247,2
1576027200,159438,3
1576029000,159822,2
1576038900,159493,13
1576042500,158700,2
1576050000,159493,1
1576056000,159000,2
1576059000,159123,4
1576059900,159493,1
1576061400,159497,3
1576061700,159498,4
1576062000,159497,3
1576062300,159498,4
1576063200,159500,3
1576065600,155751,2
1576066200,159500,1
1576066500,155751,2
1576066800,152627,12
1576067400,152579,13
1576067700,152627,12
1576068000,152579,13
1576069200,152003,11
1576069500,152579,13
1576070100,152003,11
1576073700,153002,7
1576074000,152003,6
1576074600,153002,7
1576075800,159000,1
1576076100,153002,7
1576076400,158500,2
1576076700,159000,1
1576077300,158000,1
1576077900,158500,2
1576078200,158000,1
1576081800,157750,4
1576082100,157800,5
1576082700,157750,4
1576083000,157800,5
1576083600,157799,5
1576085400,157998,2
1576085700,157943,2
1576086300,157998,2
1576086600,157943,2
1576086900,158444,2
1576087200,157943,2
1576087500,158444,2
1576088400,158262,3
1576088700,158907,24
1576090500,158903,24
1576090800,158907,24
1576091100,158903,24
1576092000,158670,4
1576093200,158698,4
1576094700,158412,7
1576095600,158425,7
1576095900,158331,6
1576096500,158373,8
1576097100,158331,6
1576097400,158373,8
1576097700,158664,3
1576098000,158373,8
1576098300,158725,4
1576098900,158664,3
1576099200,158725,4
1576100100,157633,3
1576100400,158725,4
1576100700,157633,3
1576101000,156975,4
1576101600,157633,3
1576101900,156975,4
1576102200,155000,2
1576102500,156975,4
1576102800,155445,3
1576103400,155000,2
1576103700,156667,4
1576104300,155445,3
1576104600,157401,5
1576104900,156667,4
1576105200,157401,5
1576106400,157667,4
1576107000,157401,5
1576107300,157667,4
1576108200,159493,1
1576109100,159245,2
1576109700,159493,1
1576110000,159245,2
1576110600,158998,1
1576112400,158599,2
1576112700,157267,2
1576117200,156743,3
1576119000,156015,2
1576119300,156743,3
1576119900,156015,2
1576120800,156335,1
1576122900,157267,2
1576124700,158200,1
1576126500,159014,2
1576128300,159286,3
1576130100,161167,2
1576131900,158391,3
1576133700,156335,2
1576138800,159493,1
1576153800,159000,3
