timestamp,avg,qty
1575025200,20,1
1576024500,40,1
1576313700,50,7437
1579632900,25,1
1582542000,11,1
1583366700,11,1
1583526900,11,1
1584041700,11,2
1584916200,12,1
1586160600,39,1
1586394900,35,1
1586658600,70,1
1586711700,16,1
1586717100,16,4000
1587260100,44,5331
1587489600,51,1001
1587511200,51,1
1587737400,60,2
1588011300,30,3000
1588022100,74,42816
1588488300,70,2
1589316900,45,1
1589748900,45,1
1589768700,45,1
1589808600,50,1
1592673900,55,1
1593818400,50,50
1594634100,50,1000
1597087800,36,1
1597093200,36,1
1603238100,68,1
1607449800,50,1
