timestamp,avg,qty
1602992400,996,11
1602999600,671,6
1603035000,1297,1
1603118100,1029,102
1603182300,949,1
1603192200,948,1
1603201200,1099,20
1603222800,974,1
1603243500,1099,1
1603261500,1279,11
1603263300,1297,10
1603300500,1279,2
1603307100,1250,1
1603320900,799,10
1603328100,1151,1
1603381200,1150,3
1603401000,1125,1
1603447800,900,20
1603487400,1074,10
1603525800,1070,10
1603609200,1000,10
1603693500,890,1
1603717200,1000,1
1603727100,980,10
1603757400,946,2
1603759200,974,12
1603760400,973,11
1603760700,974,12
1603761000,980,110
1603838400,979,1
1603868100,827,1
1603895700,940,1
1604001300,920,10
1604016000,730,1
1604025000,531,1
1604043300,800,1
1604054100,747,20
1604113800,750,1
1604122800,789,1
1604181900,740,20
1604216100,700,10
1604234400,677,101
1604337600,1161,20
1604367300,1195,1
1604382900,1161,30
1604432100,767,5
1604460000,1129,1
1604548500,767,10
1604589300,1124,1
1604595000,1076,1
1604653200,523,100
1604669100,907,2
1604681700,952,20
1604711100,950,1
1604718300,864,4
1604738400,1666,1
1604787600,1369,10
1604843700,1842,62
1604871300,1753,3
1604889300,1644,103
1604926800,1500,1
1604939700,844,20
1604951400,1350,2
1604961900,1400,1
1604963700,1200,2
1604965500,1000,1
1604970900,930,2
1605011700,844,1
1605022200,638,4
1605042000,762,3
1605063900,150,1
1605067500,750,100
1605141000,762,4
1605215400,750,3
1605259800,762,1
1605292200,855,20
1605312600,827,30
1605321600,855,11
1605378000,786,20
1605405300,500,10
1605490200,700,20
1605499200,303,1
1605502800,747,1
1605576900,733,1
1605585900,771,1
1605599100,663,12
1605629700,697,100
1605645600,732,21
1605663900,1195,1
1605681900,1150,7
1605778500,780,3
1605780300,781,78
1605786000,1001,1
1605809400,1042,100
1605818100,780,20
1605849000,786,10
1605858000,763,100
1605859800,774,231
1605861600,781,131
1605883500,800,20
1605918000,780,1
1605930600,1000,2
1605936000,997,1
1605974400,788,1
1606050000,1000,5
1606073700,806,1
1606074300,935,3
1606076400,1000,2
1606077300,935,3
1606077900,1000,2
1606148400,626,100
1606163400,795,2
1606164900,772,3
1606166700,728,3
1606184700,795,200
1606212000,806,2
1606244400,1499,2
1606282800,1903,1
1606315500,1774,2
1606317300,1838,4
1606319100,1903,2
1606350000,1000,10
1606408800,832,2
1606413600,830,200
1606420800,1000,20
1606428300,873,22
1606442400,829,20
1606499700,600,10
1606516800,773,11
1606517700,600,1
1606518000,791,10
1606525200,1000,1
1606541700,1714,1
1606593900,824,1
1606602600,1704,100
1606614000,1000,110
1606651800,909,11
1606653600,900,10
1606662900,824,6
1606681200,639,1
1606748100,1500,10
1606770000,835,30
1606779000,794,1
1606836600,1500,1
1606849800,1062,1
1606873200,755,10
1606920300,1228,85
1606930200,577,1
1606952100,835,1
1606953900,621,11
1606955700,600,10
1606979100,700,1
1606980300,812,6
1606982100,835,5
1607019600,823,4
1607028600,671,1
1607048100,835,1
1607054700,1200,10
1607114400,830,1
1607138400,1500,6
1607222100,830,1
1607300400,863,3
1607311200,860,20
1607391600,820,4
1607411700,863,1
1607554500,850,1
1607584800,847,2
1607652300,1077,1
1607918700,799,1
1607920500,842,2
1607922300,885,1
1607940600,849,5
1607942400,855,6
1607944200,885,1
1608049500,1077,7
1608072900,1053,200
1608120300,882,1
1608183600,758,20
1608332100,1195,1
1608357300,974,1
1608406200,1190,2
1608429900,880,10
1608469500,1073,1
1608480600,545,21
1608482400,519,20
1608487800,840,10
1608496800,1072,2
1608507900,884,10
1608553800,1072,12
1608622800,960,40
1608626400,940,1
1608662700,1072,1
1608677100,1499,2
1608691800,818,11
1608704400,1499,30
1608733500,1200,2
1608769800,1195,2
1608789600,1200,20
1608856500,1499,10
1608865500,1161,30
1608869100,1499,2
1608891000,1142,1
1608938100,1019,50
1608974400,941,1
1608989100,980,4
1609024200,995,2
1609111200,919,2
1609120200,874,10
1609129500,995,10
1609151400,548,20
1609164000,966,4
1609220100,997,3
1609225800,1059,31
1609229400,966,6
1609242300,1195,3
1609431000,1169,3
1609432800,1119,1
1609443600,1195,1
1609510500,918,1
1609537800,1499,20
1609546800,1004,2
1609599300,1010,2
1609601100,1000,23
1609615800,1499,1
1609617600,1456,2
1609621200,1499,1
1609628400,1413,10
1609644600,1499,10
1609682700,1221,1
1609702800,1065,10
1609719000,1012,2
1609726200,1401,1
1609733400,1065,20
1609776900,1401,30
1609780500,746,5
1609796700,1498,1
1609800300,1499,1
1609845600,1401,3
1609856700,1280,4
1609858500,1160,2
1609865100,1401,1
1609888500,1399,1
1609899600,1401,10
1609919400,1105,1
1609973400,1179,4
1609996800,830,2
1610020500,918,1
1610051100,1125,1
1610060700,353,1
1610079300,1125,1
1610149500,1069,2
1610189400,645,1
1610193000,1125,1
1610233800,1014,20
1610251800,1069,10
1610277300,918,1
1610298600,1069,200
1610319000,900,3
1610335200,1069,11
