timestamp,avg,qty
1575081000,5010,1
1575082800,5010,1
1575113700,5010,1
1575165900,3001,1
1575166800,3001,1
1575261000,4296,1
1575404700,3423,1
1575406500,3423,1
1575406800,3423,1
1575407100,3423,1
1575407700,3423,1
1575551400,3001,1
1575555600,3001,1
1575886500,6121,1
1576003500,3003,1
1576106400,4835,1
1576107300,4835,1
1576395300,3010,1
1576530000,5828,4
1576590300,3520,1
1576604400,5604,3
1576615500,3520,1
1576617300,3520,1
1576617600,3520,1
1576617900,3520,1
1576618800,4054,2
1576619400,4589,1
1576620900,4589,1
1576621200,4589,1
1576621500,4589,1
1576622100,4589,1
1576635300,4589,1
1576636500,4589,1
1576636800,4589,1
1576637100,4262,2
1576639200,3935,1
1576639500,4262,2
1576639800,3935,1
1576679100,5338,2
1576679700,4360,1
1576680000,5338,2
1576680600,5338,2
1576680900,5338,2
1576700100,4830,1
1576703700,3520,1
1576704000,4709,2
1576704600,3520,1
1576807500,5084,1
1576964400,4548,1
1576966200,4548,1
1577063100,3177,1
1577065200,3177,1
1577194500,3830,1
1577226000,3925,2
1577229600,3150,1
1577278800,4948,1
1577477400,3107,2
1577488500,6130,1
1577492100,5374,4
1577493600,5122,3
1577554500,4554,1
1577657100,5961,1
1577657400,5961,1
1577658000,5961,1
1577730000,3107,1
1577733000,3107,1
1577733300,3107,1
1577733600,3107,1
1577735700,3120,2
1577736000,3133,1
1577736600,3120,2
1577737200,3120,2
1577737500,3120,2
1577738100,3120,2
1577793600,3107,1
1577899200,4717,1
1578121500,4441,1
1578152400,4919,1
1578330900,3702,1
1578358500,3517,1
1578363900,4101,1
1578366000,4050,2
1578367800,4000,1
1578420300,3517,1
1578534000,3394,2
1578547200,3050,1
1578726300,4587,1
1578773100,3001,1
1579016100,3001,1
1579017900,3001,1
1579156800,3001,1
1579212900,3001,1
1579263300,3001,1
1579302000,3777,1
1579411500,3001,1
1579549500,3001,1
1579551300,3569,2
1579553100,4137,1
1579562400,3394,1
1579658400,3759,1
1579684200,3001,1
1579749300,3001,1
1579878600,3001,5
1579886100,3563,1
1579904400,3001,2
1580003100,3001,1
1580067900,3001,1
1580078700,3711,3
1580160900,3001,1
1580251800,3001,1
1580338200,5000,1
1580421300,3001,1
1580544600,4388,1
1580972700,4390,1
1581110700,4500,1
1581145500,4500,1
1581195600,4500,1
1581285600,4667,1
1581377100,4709,1
1581440100,4500,2
1581540000,4500,1
1581835800,3001,1
1581837600,3001,1
1582255800,3003,1
1582340700,3085,1
1582454100,3087,2
1582668900,4043,2
1582687200,4043,1
1582923900,4000,1
1583074200,4000,1
1583076300,4079,3
1583078100,4119,2
1583079900,4028,1
1583081400,4028,1
1583108700,4239,1
1583176500,4000,1
1583416500,3087,1
1583455200,3200,1
1583495700,3087,1
1583619300,3465,1
1583634900,3087,1
1584072600,3571,4
1584199200,3063,1
1584301500,2744,1
1584396900,2000,1
1584568500,3608,2
1584727800,3569,1
1584835800,3200,1
1584906900,3205,1
1584921600,3205,1
1584934500,2286,2
1585030200,3539,1
1585034100,1500,1
1585048800,1510,1
1585050600,1510,1
1585071000,1904,1
1585085400,1904,1
1585187700,2708,1
1585322700,5576,6
1585324500,5473,5
1585326300,6092,9
1585405200,2591,1
1585414500,2758,2
1585467000,2788,2
1585509000,3759,2
1585523400,3750,1
1585525200,3750,1
1585527000,4209,1
1585573500,4000,1
1585624800,15000,2
1585674600,19999,2
1585718400,5086,220
1585757100,3934,1
1585766400,3934,1
1585768200,3934,1
1585771800,3738,1
1585848600,3934,1
1585857600,3934,1
1585859400,3934,1
1585875900,4930,1
1585883400,4930,1
1585935000,4918,1
1585956900,13000,3
1585962600,13000,8
1585964400,13000,9
1585966200,13000,3
1585973400,5000,1
1586051700,5005,1
1586111700,4644,1
1586122500,4644,1
1586124300,4680,2
1586126100,4716,1
1586197200,4313,2
1586199000,4313,2
1586232000,4644,1
1586233800,4644,1
1586272200,4026,1
1586327100,6000,9
1586328900,6000,6
1586330700,6000,6
1586332500,6000,8
1586334300,6000,10
1586336100,6000,7
1586387700,3934,1
1586389500,3934,1
1586391300,4237,1
1586398500,3934,1
1586411100,4237,1
1586412900,4237,1
1586453100,4100,1
1586489400,6956,2
1586573700,4775,1
1586656800,4503,1
1586658600,4503,1
1586759700,5047,2
1586894100,4500,2
1586895900,4526,4
1586897700,4552,4
1586901300,4478,6
1586903100,4404,3
1586955600,3934,1
1587014700,3990,3
1587016500,3934,2
1587147600,3960,1
1587149400,3960,2
1587220200,4005,2
1587231300,4415,1
1587240300,4005,1
1587247500,4010,1
1587252900,4415,1
1587327300,4005,1
1587334500,4005,1
1587338100,4005,1
1587420300,4600,1
1587498600,4005,1
1587529800,5027,1
1587682500,4005,1
1587684300,4638,2
1587704100,4542,1
1587748200,3934,1
1587766500,4005,1
1587850500,5861,1
1587852300,5861,1
1587878100,4617,1
1587925500,4010,1
1587967500,4387,1
1588036800,4207,2
1588069500,15000,1
1588078800,4880,1
1588098900,4044,1
1588100700,9522,2
1588102500,7752,3
1588137000,4714,1
1588164600,3842,1
1588260900,4936,1
1588306200,4005,1
1588308000,4005,1
1588453500,4633,1
1588510200,4631,1
1588524900,4345,3
1588528500,4005,1
1588603500,4006,1
1588612500,6549,1
1588614300,5277,2
1588623300,4524,2
1588761000,2,1
1588791900,1000,1
1588902600,5164,1
1588935300,5164,1
1588946400,6060,2
1589057700,4566,1
1589211900,4731,1
1589215500,4731,2
1589222700,4731,1
1589273400,4169,1
1589344200,3805,1
1589480700,4134,1
1589484300,3735,2
1589511600,4819,1
1589596800,5000,1
1589600400,5000,1
1589688900,3670,1
1589690700,3670,1
1589692500,4626,1
1589830500,3698,1
1589859600,4247,1
1590028200,4929,1
1590088200,4930,1
1590117300,4930,2
1590144300,4779,1
1590178800,5030,1
1590289500,5000,1
1590545700,5000,2
1590639000,4062,1
1590648000,4200,1
1590713700,4963,1
1590841500,4695,1
1591030200,2,1
1591090500,1000,1
1591212600,1899,1
1591338300,3758,1
1591476900,1215,1
1591564500,3318,1
1591623300,4510,1
1591626900,3868,1
1591657500,3675,1
1591659300,3675,1
1591737300,4377,2
1591742700,6275,1
1591806900,4265,1
1591976100,3509,1
1591988700,3509,1
1592076000,3509,1
1592117700,3509,1
1592166900,4230,1
1592417700,4491,1
1592450400,4639,1
1592635800,4741,1
1592934600,4745,1
1593177000,4745,1
1593454500,1522,1
1593556500,3065,1
1593558300,3065,1
1593924000,4134,1
1593982200,4566,1
1594000200,6438,1
1594137600,3065,1
1594143000,3065,1
1595023500,3065,2
1595311800,5348,2
1595703300,4952,1
1595779200,3065,1
1595848500,3065,1
1595939100,4976,1
1595940900,4852,2
1596096000,3092,2
1596198000,5141,1
1596257700,2928,4
1596408600,7950,1
1596561600,2503,1
1596990000,2503,1
1597086000,4751,1
1597430700,3828,1
1597492500,4698,1
1597532100,3320,1
1598106600,5017,1
1598912700,3715,1
1599284700,4944,1
1599686400,4000,1
1599888600,5031,1
1600226100,4000,1
1600365900,2700,1
1600409100,4979,1
1600475700,4114,1
1600828500,4773,1
1600913100,5014,1
1601037600,3173,1
1601643900,5261,1
1601716200,6394,1
1601740500,6394,1
1601796300,5429,1
1602398700,4485,1
1602809400,3934,1
1603128900,3758,1
1603247100,3808,1
1603390200,2503,1
1603478400,2582,1
1603598400,2900,2
1603721100,3073,1
1604341500,2635,2
1604373300,3900,10
1604374500,3900,10
1604375700,3900,10
1604376900,3900,10
1604469000,3874,3
1604887500,2635,1
1605526500,2600,1
1605576900,3829,1
1605577500,3829,1
1605578100,3829,1
1605578700,3829,1
1605580200,3829,1
1605799800,3830,1
1605804300,3830,1
1605872700,3850,1
1606102500,4028,1
1607194800,3000,1
1608000600,2509,1
1608411600,2515,1
1608413400,2515,1
1608759000,3634,2
1609294800,4416,1
1609886700,2504,1
1610376300,4958,1
1610571900,5051,1
1611126600,6188,58
1611575400,1150,1
1612295400,5469,1
