timestamp,avg,qty
1574989500,21,12
1575159300,28,125
1575162900,19,1
1576098300,18,126
1576377000,14,3
1576548300,18,202
1576691100,18,103
1576958700,18,21
1577155500,28,920
1577306100,64,125
1577665500,21,15
1577691900,40,1
1577759700,51,772
1577943300,80,1
1578081000,37,507
1578104700,48,14
1578111000,59,260
1578117900,50,12
1578351300,20,442
1578418500,31,244
1578680100,20,177
1578704100,21,672
1578762000,21,205
1578873600,21,665
1579252200,15,11
1579314900,17,37
1579374600,1,130
1579378200,1,255
1579467300,1,273
1579469100,1,273
1579500300,14,5
1579784700,24,14
1579819500,21,268
1580349000,15,105
1580350800,15,105
1580519100,14,61
1581536400,1,1
1581547200,13,88
1582095900,10,126
1582317300,6,126
1582417500,1,221
1582599600,6,3
1582602000,9,113
1582602300,9,113
1582602600,9,113
1582602900,9,113
1582603200,9,113
1582603800,9,113
1582707300,9,52
1582939200,1,1
1582940400,1,1
1582940700,1,1
1582941000,1,1
1582941300,1,1
1582941600,1,1
1583528700,37,61
1583616900,8,100
1583681400,32,184
1583732100,8,12
1583809800,5,119
1583811900,5,119
1583890800,5,2
1583900700,7,135
1583967900,6,375
1584162600,35,125
1584451800,17,19
1584532200,1,48
1584552300,31,23
1584745800,75,72
1584747600,21,12
1584749700,12,89
1585016700,1,250
1585289100,3,1
1585309800,3,240
1585443600,3,343
1585458000,5,1
1585496400,4,22
1585540200,1,26
1585606500,1,1
1585725900,30,1
1585830300,10,13
1585863000,1,1
1585920600,8,1
1585940700,5,10
1585955100,27,593
1585997400,30,7
1586021100,7,553
1586022900,7,553
1586024700,2,18
1586053500,3,72
1586064300,4,14
1586095500,3,221
1586108100,2,1197
1586111700,3,1
1586117100,3,11
1586122500,2,303
1586137200,4,8
1586151600,1,182
1586217300,11,127
1586290200,3,14
1586301300,4,11
1586318100,4,3
1586382300,4,13
1586403900,2,34
1586591700,21,2
1586593500,19,3
1586595300,1751,12
1586631600,18,125
1586662200,5,5
1586763300,100,1
1586814000,5,26
1586823000,1,39
1586824800,1,113
1586828400,4,250
1586844900,4,66
1586924700,7,568
1586955600,19,136
1587016500,100,29
1587067500,23,297
1587069300,23,297
1587078600,18,736
1587093000,6,188
1587107700,25,941
1587109500,11,1
1587111300,10,7
1587113100,10,49
1587182100,1,222
1587276600,19,189
1587285600,100,8
1587502200,8,1
1587664200,23,512
1587666000,22,479
1587779100,2,300
1587834300,17,10
1587836100,17,10
1587859800,24,24
1587927300,200,4
1588016700,9,689
1588018500,9,689
1588291500,51,28
1588295100,43,794
1588296900,31,1169
1588349700,51,8
1588358700,50,21
1588371600,22,1
1588373400,24,14
1588457100,7,322
1588555800,7,1
1588738800,1,1
1588740600,1,1
1589471400,9,23
1589520600,10,227
1589670900,2,2423
1589948400,3,87
1590088200,4,1
1590363600,1,41
1590622500,25,13
1590626100,1,125
1590701100,29,12
1590765600,8,2725
1590790800,38,91
1590930600,30,2
1591201800,93,125
1591371300,7,499
1591777800,1,1
1591808700,1,711
1592094000,27,1
1592232600,8,1
1592254200,100,1
1592357700,1,1233
1592428800,5,39
1593405000,1,2
1593432600,3,31
1593894900,1,391
1594244100,1,2
1594326000,21,4
1594472400,3,1283
1594497600,4,1
1594563300,5,174
1594779000,9,648
1595184900,5,134
1595211900,7,358
1595549400,6,61
1595967900,5,108
1596031200,75,12
1596065100,40,189
1596142800,30,1
1596228600,7,18
1596248700,5,18
1596410400,5,156
1596460200,75,1
1596478200,1,326
1597162800,29,875
1597962900,4,13
1597979400,3,93
1597981200,3,93
1598023800,75,904
1598062800,9,471
1598066400,29,9
1598068200,29,9
1598296500,1,26
1598325300,4,1
1598500200,7,46
1598808300,4,4
1598882400,7,193
1598916300,1,1
1598919900,4,3
1598972400,6,13
1598983800,8,86
1598987400,6,1788
1599196500,6,193
1599230400,11,1
1599817200,10,16
1599879600,2,9
1599929400,2,229
1599998700,3,1
1600020000,10,1
1600810500,1,1
1600874400,4,104
1602536100,3,10
1602723900,7,18
1602751500,7,216
1603171500,1,1
1604535600,3,95
1605212400,3,5
1605252300,5,58
1605408900,2,24
1606161000,2,566
1606644600,5,691
1606659300,16,500
1606781100,1000,1
1606784700,9,13
1606800900,597,4
1606802700,485,5
1606804500,68,2
1606905600,9,10
1607654100,4,1
1610720400,50,84
1611111900,7,10
1611246000,15,500
1611246300,15,500
1611246600,15,500
1611246900,15,500
1612981800,28,1
