timestamp,avg,qty
1574985300,354,1
1574986200,354,1
1574986500,354,1
1574987100,354,1
1575030600,354,5
1575032700,354,5
1575033600,354,5
1575034200,354,5
1575042000,354,8
1575043800,354,8
1575044100,354,8
1575044400,354,8
1575045000,354,8
1575060600,431,1
1575062400,431,1
1575062700,431,1
1575063300,431,1
1575063600,431,1
1575064500,356,20
1575065400,356,20
1575066000,355,32
1575067800,355,35
1575070800,354,3
1575073500,392,9
1575073800,392,9
1575074400,392,9
1575075300,392,61
1575081000,718,32
1575083700,355,14
1575084000,355,24
1575084600,366,21
1575164700,474,7
1575165000,474,7
1575165600,474,7
1575165900,474,7
1575166200,474,7
1575166500,474,7
1575166800,474,7
1575167100,474,7
1575167400,474,7
1575167700,474,7
1575177300,866,6
1575179400,1975,18
1575184800,2000,6
1575186600,2000,6
1575187500,2000,6
1575188100,2000,6
1575188400,2000,6
1575191400,2000,28
1575192000,2000,28
1575192300,1359,57
1575225900,531,26
1575227100,531,26
1575228000,531,26
1575228300,531,26
1575228600,531,26
1575230100,2000,18
1575230700,2000,18
1575232200,2000,18
1575233400,2000,18
1575234000,436,5
1575234300,2000,18
1575235200,436,5
1575235800,436,5
1575242700,452,3
1575248100,453,68
1575264600,2000,24
1575268200,476,12
1575277200,2014,54
1575314100,452,131
1575314400,453,55
1575315000,452,76
1575333300,504,1
1575334800,452,1
1575336900,452,1
1575340500,500,59
1575355500,850,14
1575356100,850,14
1575357300,850,45
1575357900,850,45
1575358200,850,45
1575358800,760,55
1575417600,936,27
1575420900,530,40
1575462900,540,96
1575465300,555,126
1575465600,555,126
1575466200,555,126
1575467100,606,30
1575468600,606,30
1575473700,540,1
1575474300,540,1
1575481800,540,40
1575482400,540,40
1575482700,540,40
1575492000,544,73
1575498000,560,63
1575555000,448,26
1575555300,448,26
1575555600,448,26
1575555900,448,26
1575556200,446,31
1575556500,448,26
1575556800,437,227
1575558600,436,201
1575559200,436,201
1575559500,436,201
1575559800,436,201
1575590700,479,10
1575591300,479,10
1575598200,457,1
1575598800,457,5
1575600000,457,4
1575601500,457,4
1575602100,457,4
1575602400,457,4
1575603300,448,26
1575604800,450,31
1575605100,448,26
1575605400,450,31
1575605700,452,42
1575606300,452,48
1575606900,452,42
1575609300,457,12
1575611400,457,1
