timestamp,avg,qty
1575823800,790,1
1576168800,958,1
1576279800,913,1
1576710600,148,1
1577400900,835,2
1578950700,2047,1
1579121700,359,1
1579257900,414,2
1579826700,817,2
1580956200,705,1
1584758700,796,1
1585773600,1110,1
1585775400,1110,1
1586006400,831,1
1586306700,2,1
1586724300,2,1
1586808600,1268,17
1586977500,1087,1
1586997600,1000,1
1587169500,1000,1
1587583200,1001,1
1587938400,973,29
1587940200,915,6
1588674900,359,1
1589232000,738,10
1590177000,1,1
1590182400,753,1
1590476700,785,1
1590659100,600,2
1590715500,600,7
1590823500,342,1
1590828900,600,1
1590830700,600,1
1591139400,639,3
1591467600,2000,1
1591944900,778,2
1591946700,778,2
1591948500,778,1
1592657700,1000,39
1592704800,994,87
1592715600,2100,2
1592724900,970,162
1592726700,944,107
1593115200,5000,1
1594355400,831,1
1595714100,4992,1
1598390400,1166,5
1598420700,1,1
1601523900,775,1
1601992500,8997,1
1602147000,9997,4
1602148800,9997,4
1603557900,400,1
1605034800,741,1
1606244400,874,1
1606806900,2,1
1607049000,841,15
1607603100,836,1
1610740800,4999,10
1611946800,8,1
1612227900,2869,2
1613100900,10,1
