timestamp,avg,qty
1575747900,57,125
1575939000,50,1
1576138800,107,125
1576209900,101,1
1576275600,500,1
1576809300,104,125
1577070300,260,1
1577435400,154,1
1577601600,99,1
1577623200,154,10
1577691900,95,1
1577973000,94,1
1577980200,160,13
1578086700,176,1
1578262800,50,125
1578543900,106,125
1578582300,105,225
1578585900,106,125
1578625500,104,375
1578669000,108,125
1578771300,103,250
1578791400,106,125
1578954600,99,1
1579283700,150,1
1579370700,104,1
1580042100,115,250
1580045700,120,125
1580049600,103,1
1580064300,120,125
1580141100,103,125
1580166300,96,250
1580196000,103,1
1580251800,105,375
1580313000,98,50
1580341800,120,125
1580446500,97,125
1580482800,118,250
1580490000,134,1
1580517300,120,125
1580722200,93,1
1581053100,97,125
1581123600,95,125
1581728700,500,1
1582321200,150,1
1582568700,500,1
1582599600,30,125
1582861200,95,5
1583021400,500,1
1583385000,100,125
1583388600,101,4
1583390100,103,6
1583392800,108,2
1583794500,161,1
1583799900,126,1
1583808000,161,1
1583809800,126,62
1583874300,500,60
1584056100,106,125
1584107400,120,27
1584221100,130,125
1584327300,105,125
1584356700,101,125
1584479100,130,105
1584557700,106,125
1584575700,125,125
1584618000,88,125
1584676800,50,125
1584735000,125,125
1584745800,500,1
1584792000,125,46
1584877800,100,125
1584879600,102,250
1584881400,104,125
1584901500,95,1
1584996600,136,125
1585076400,500,125
1585098300,125,125
1585107300,500,250
1585140000,125,125
1585289100,80,24
1585362900,500,1
1585496400,1,1
1585521600,70,125
1585563900,95,125
1585582800,96,1
1585606500,80,1
1585608300,100,126
1585610100,101,250
1585621200,93,124
1585624800,96,125
1585654500,145,9
1585658100,144,128
1585659900,111,3
1585703700,80,1
1585758900,85,1
1585857600,89,125
1585992000,68,1
1586017500,77,1
1586021100,89,125
1586091600,82,2000
1586108100,89,1
1586380500,500,1
1586451300,92,125
1586584500,89,10
1586647800,65,1
1586673300,24,125
1586684400,71,125
1586686200,75,227
1586688000,80,102
1586693400,89,1
1586729700,45,11
1586759700,1,1
1586821200,85,125
1586888700,91,125
1586977500,500,1
1587031200,130,61
1587093000,70,125
1587129600,150,1
1587160200,1,1
1587204000,89,1
1587369300,130,1
1587452700,69,1
1587511200,383,30
1587533700,111,1912
1587629100,130,125
1587883500,136,383
1587916500,200,1
1587936600,106,100
1588044000,500,1
1588055100,140,336
1588173600,1,125
1588435200,269,1
1588555800,128,250
1588697100,111,1
1588991700,89,125
1589035500,399,6
1589162700,150,1
1589269800,350,10
1589433300,300,1
1590117300,135,125
1590142500,95,125
1590173400,135,125
1590207900,1,1
1590224100,40,519
1590256800,79,2
1590289500,114,231
1590432300,500,1
1590635400,101,125
1590800100,140,30
1590859800,96,125
1590930600,500,1
1591063200,136,125
1591114200,1,125
1591280400,105,125
1591309200,200,125
1591648500,133,13
1591653900,136,20
1591744500,500,1
1591794300,134,65
1591903200,500,1
1591905000,136,126
1591906800,134,125
1592301600,491,125
1592427000,106,125
1592637600,90,10
1592803500,107,10
1592983800,1,250
1593020100,145,125
1593129900,98,125
1593429000,1,3
1593998400,107,18
1594179300,140,125
1594327800,65,750
1594337100,160,1
1595161500,108,118
1595165100,110,7
1595215500,182,1
1595621400,103,100
1595703300,97,125
1595998200,107,55
1596001800,185,49
1596083100,142,125
1596086700,185,70
1596205200,213,30
1596230400,137,198
1596232200,142,213
1596234000,213,15
1596399600,200,375
1596417600,50,125
1596462000,200,12
1596518100,152,7
1596530700,145,1
1596630900,240,38
1596893700,107,1
1597026600,102,125
1597093200,190,105
1597300500,97,125
1597322400,125,20
1597492500,224,125
1597770900,108,63
1598327100,199,125
1598381400,110,125
1598650200,247,1
1599054600,104,1
1599144600,21,2
1599187500,215,1
1599212700,21,1
1599221700,174,250
1599230400,240,39
1599253800,100,1
1599452700,259,125
1599483600,255,170
1599483900,259,125
1599484500,255,170
1599486900,246,45
1599493500,259,27
1599529200,246,27
1599597600,200,125
1599969000,103,125
1599998700,200,1
1600320600,105,125
1600331400,1323,1
1600356900,240,123
1600401900,134,125
1600491900,105,125
1600650300,110,1
1600800600,134,125
1600870200,240,1
1601008500,100,125
1601010300,104,250
1601012100,108,125
1601053800,136,161
1601055600,141,169
1601057400,230,8
1601164500,239,103
1601723700,200,10
1601985300,109,1
1602201000,200,250
1602204600,105,125
1602287700,177,500
1602527100,200,1
1602778500,1,125
1602791400,200,125
1603059300,105,23
1603149600,101,125
1603302300,170,250
1603320900,106,125
1603359600,200,250
1604221500,107,125
1604268900,89,125
1604352300,200,1
1604808000,116,125
1604963700,115,125
1605146100,200,100
1605595200,97,125
1605856200,50,125
1605892500,117,125
1605921600,109,250
1605922800,102,125
1605923100,109,250
1606102500,200,250
1606530000,199,125
1606608600,200,125
1607026200,191,125
1607040900,194,125
1607048100,200,125
1607167500,106,875
1607180400,192,125
1607291400,198,625
1607295000,200,125
1607302200,128,125
1607380800,120,35
1607382600,193,410
1607384400,200,375
1607614200,113,125
1607641500,150,16
1607788200,87,125
1608930900,140,91
1609056900,119,250
1609076700,140,125
1609109400,1000,1
1609309200,239,625
1610079000,215,250
1610103900,218,26
1610317200,127,100
1610331600,131,376
1610337000,213,95
1610607900,128,125
1610685600,130,1
1610822400,1000,1
1610932800,225,250
1610942100,124,125
1611027300,225,51
1611129300,95,234
1611206700,231,16
1611261300,151,125
1611273900,227,452
1611279300,231,125
1611316500,279,18
1611376200,127,125
1611631500,373,100
1611904200,133,125
1612284300,350,1
1612669500,373,1
1612789500,274,7
1612884000,249,1
1612891200,274,1
1613117100,249,438
