timestamp,avg,qty
1575038100,193,38
1575232200,168,26
1575248100,193,838
1575293700,160,1
1575303900,186,5
1575304500,186,5
1575304800,186,5
1575305100,186,5
1575305400,186,5
1575305700,186,5
1575306300,186,5
1575320400,198,2403
1575402600,170,2
1575414000,170,501
1575593100,166,3
1575600000,170,6
1575654600,166,28
1575674400,167,2
1575689100,175,1028
1575952500,170,7
1576038900,169,2
1576102200,205,128734
1576126500,199,55
1576279800,170,483
1576280100,170,483
1576280700,170,483
1576292400,167,1
1576335300,163,447
1576346100,163,27
1576364400,171,6
1576388100,25,1
1576488300,171,1105
1576559400,163,13
1576561200,163,13
1576561500,163,13
1576561800,163,13
1576566600,164,2853
1576568700,164,2853
1576611000,204,697
1576631700,171,9
1576636500,192,1
1576712100,173,532
1576714500,173,529
1576716600,172,2017
1576717500,172,2017
1576718400,172,2017
1576719000,172,2017
1576719300,172,2017
1576720500,172,2017
1576767600,167,4210
1576782300,172,3776
1576922100,171,1026
1576980600,171,1069
1576982700,171,1070
1576984500,171,29
1577019300,176,27
1577113500,171,64
1577175900,177,949
1577178600,177,949
1577304300,187,626
1577326200,179,179
1577331600,175,1
1577344200,215,28
1577388300,187,2
1577389800,202,1259
1577473500,187,58
1577480700,185,31
1577490000,194,1
1577537700,247,2314
1577547000,180,30
1577565000,196,201
1577565600,196,301
1577565900,196,201
1577566200,196,301
1577566500,196,201
1577566800,197,400
1577568600,189,1100
1577580300,180,1629
1577598900,177,302
1577612700,194,1
1577627400,188,2149
1577628000,188,2149
1577628600,188,2149
1577628900,188,2149
1577631300,188,2149
1577648700,188,1632
1577734500,200,790
1577740800,188,2
1577751600,181,2100
1577755200,181,311
1577758500,181,1214
1577758800,181,1414
1577759100,181,1214
1577772600,180,2137
1577781000,180,27
1577783100,170,207
1577784000,171,232
1577784300,170,1
1577791800,171,12
1577832000,207,236
1577835900,203,630
1577863200,172,1
1577901000,170,1
1577910000,161,1036
1577917500,170,1
1577939400,170,2
1577950500,165,1884
1577980200,205,219
1577980500,205,219
1577980800,205,219
1578012000,212,1
1578013800,212,1
1578024600,212,454
1578032400,193,1780
1578035400,182,3913
1578051300,160,60
1578073800,193,8
1578077400,182,954
1578079200,182,981
1578084600,175,1415
1578134100,182,99
1578162300,176,1052
1578162900,176,1052
1578163500,176,1052
1578165000,176,1052
1578166200,190,2
1578167100,190,2
1578168600,190,2
1578170400,156,1
1578171000,156,1
1578194400,191,27
1578198000,182,3834
1578244200,183,3905
1578245100,184,3904
1578245400,183,3905
1578246600,184,1
1578247200,184,1
1578247500,184,1
1578248100,184,1
1578248400,184,1
1578249300,184,1
1578250500,184,1
1578252000,182,38
1578252600,182,38
1578252900,182,38
1578253800,182,38
1578254100,174,413
1578254400,182,38
1578254700,174,375
1578262800,171,1080
1578263700,174,1480
1578264300,171,1080
1578264600,174,1480
1578266700,181,408
1578267000,173,758
1578267900,181,408
1578279900,165,448
1578281100,165,450
1578281400,165,448
1578282000,165,450
1578282900,172,3
1578283200,165,450
1578283800,172,3
1578302700,173,540
1578314700,165,400
1578324600,150,850
1578351300,163,26
1578353100,163,26
1578363900,150,61
1578420300,150,753
1578507000,175,1368
1578516300,177,426
1578519600,170,1048
1578519900,172,1205
1578520200,170,1048
1578520800,170,1048
1578521700,178,1000
1578524100,178,1000
1578530400,195,1
1578595500,150,1
1578606900,173,4937
1578614100,178,958
1578625500,188,1867
1578629100,180,4270
1578674700,170,1
1578711600,178,983
1578713400,175,27
1578715200,175,86
1578726300,150,1551
1578737700,170,2810
1578795000,150,2000
1578796800,150,6575
1578798900,155,306
1578834600,200,739
1578851400,202,54
1578853200,202,54
1578871800,151,700
1578879000,151,2
1578880800,169,774
1578882600,170,772
1578884700,165,3560
1578891900,150,3720
1578893700,151,4079
1578897600,165,1001
1578965400,148,4000
1578969300,173,27
1579038000,142,1279
1579043400,139,12744
1579058400,168,355
1579060200,174,2579
1579065600,158,1601
1579067400,153,1
