timestamp,avg,qty
1574980200,59740,2
1574982600,66111,2
1574982900,59740,2
1574983200,66111,2
1574986200,61280,2
1574989500,61406,5
1574990400,63515,2
1574992800,59899,1
1574994300,59906,2
1574996400,59913,1
1574997900,59913,1
1575001500,64344,1
1575003600,62046,4
1575005100,59718,6
1575007200,58156,3
1575008700,59900,1
1575010800,59900,2
1575012000,59770,3
1575014100,60047,4
1575015900,60835,4
1575030600,59835,3
1575030900,59835,3
1575031500,59835,3
1575032100,59835,3
1575032700,59729,4
1575033600,59486,6
1575034200,59729,4
1575034500,59137,3
1575036600,59000,2
1575037500,59000,2
1575038100,59899,2
1575039600,59899,2
1575039900,59899,2
1575040200,59899,2
1575040500,59899,2
1575040800,59899,2
1575041100,59899,2
1575041400,59899,2
1575041700,59899,2
1575043500,59860,3
1575045300,60215,4
1575045600,60215,4
1575045900,60399,5
1575046500,60215,4
1575046800,60399,5
1575047700,60872,2
1575049200,61445,2
1575051000,60760,3
1575052800,59966,3
1575055200,59899,1
1575058500,60457,3
1575060600,60457,3
1575062100,59546,2
1575062400,59722,3
1575062700,60000,2
1575063300,59722,3
1575063600,60000,2
1575064200,60761,3
1575064500,62283,1
1575065100,60761,3
1575065400,62283,1
1575065700,60761,3
1575066000,62283,1
1575069900,63000,2
1575071700,60093,3
1575073500,60639,2
1575073800,62279,1
1575074400,60639,2
1575075300,56899,1
1575077100,57949,2
1575079200,60641,2
1575082800,65000,1
1575084600,61000,1
1575086700,61627,6
1575088500,61478,6
1575090300,62649,3
1575092100,63921,2
1575093900,63457,3
1575095700,64320,4
1575097500,64005,3
1575099600,61278,2
1575101400,59899,1
1575103800,66100,3
1575104700,66100,3
1575105300,66100,3
1575106500,65325,4
1575106800,66100,3
1575107400,65325,4
1575108900,61500,2
1575113700,63932,3
1575120900,59966,3
1575123000,61000,3
1575123600,61000,3
1575123900,61000,3
1575125100,63000,1
1575126900,65783,1
1575127800,65783,1
1575132000,59259,2
1575132300,59173,3
1575132900,59259,2
1575133200,59173,3
1575135000,59333,3
1575135300,59000,2
1575135600,59333,3
1575135900,60000,1
1575136200,59333,3
1575136800,59000,2
1575137700,58666,3
1575138000,59000,2
1575138600,58666,3
1575139500,58000,2
1575140700,58784,3
1575141000,58506,3
1575141300,59177,2
1575141900,58784,3
1575142200,59177,2
1575142500,59118,3
1575144600,59000,1
1575144900,59000,1
1575145200,59000,1
1575146100,59000,1
1575146400,59000,1
1575146700,59000,1
1575147300,59000,1
1575147900,59000,1
1575153900,59519,2
1575154200,59519,1
1575155100,59519,2
1575155700,60009,2
1575162900,59000,2
1575164700,59333,3
1575165900,59687,3
1575166200,59333,3
1575166500,60031,2
1575168300,59846,2
1575170100,59630,1
1575171900,61250,2
1575177300,60000,1
1575179400,60000,2
1575181200,59839,3
1575183000,59759,2
1575184800,60250,2
1575186600,60500,2
1575189600,60500,1
1575206100,60568,6
1575208800,60726,6
1575209100,60511,5
1575209400,61028,3
1575209700,60726,6
1575210000,61028,3
1575224400,61823,1
1575225000,61823,1
1575225900,62016,2
1575228000,60157,5
1575228300,60722,5
1575228600,60157,5
1575230100,59995,6
1575235800,60707,3
1575240600,58500,2
1575242700,58500,1
1575252000,60001,1
1575255600,59000,3
1575257400,58904,6
1575259200,58537,5
1575261000,58268,4
1575262800,58939,3
1575266400,58751,2
1575268200,57476,3
1575270600,57892,3
1575272700,58748,1
1575273600,61760,1
1575274200,60216,2
1575274500,61760,1
1575274800,60216,2
1575275700,60216,2
1575276000,60216,2
1575276300,60216,2
1575276600,60216,2
1575277200,58286,2
1575277500,57900,1
1575278400,58286,2
1575279000,57900,1
1575286200,58750,2
1575306300,58503,3
1575307800,58503,2
1575322800,58586,2
1575325800,59079,4
1575326100,58793,4
1575326400,59079,4
1575326700,59079,4
1575327000,59079,4
1575327300,59079,4
1575327600,59079,4
1575327900,60025,3
1575329400,61760,1
1575329700,60025,3
1575330000,61760,1
1575331200,57000,2
1575331800,57095,3
1575332100,57000,2
1575332400,57095,3
1575333300,57095,3
1575333600,57652,3
1575333900,57095,3
1575334500,57652,3
1575334800,57877,3
1575335400,58173,2
1575335700,57877,3
1575336300,58173,2
1575337200,58070,2
1575337500,58271,3
1575337800,58070,2
1575338100,58271,3
1575338400,58070,2
1575338700,58466,1
1575340800,56256,2
1575341400,56256,2
1575342000,56256,2
1575344100,58312,4
1575344400,58312,4
1575344700,58312,4
1575345300,58312,4
1575348900,56256,1
1575349500,56256,1
1575353100,58500,1
1575354600,58500,1
